"","gender","age_group"
"1",1,5
"2",2,4
"3",1,4
"4",1,6
"5",1,4
"6",1,3
"7",1,6
"8",1,3
"9",1,4
"10",1,3
"11",1,4
"12",1,4
"13",1,6
"14",1,3
"15",1,3
"16",1,2
"17",1,5
"18",1,4
"19",1,5
"20",1,3
"21",1,5
"22",1,4
"23",NA,NA
"24",1,4
"25",1,4
"26",1,5
"27",1,4
"28",1,4
"29",1,6
"30",1,3
"31",1,3
"32",1,4
"33",1,6
"34",1,5
"35",1,4
"36",1,3
"37",1,3
"38",1,2
"39",1,4
"40",1,4
"41",2,4
"42",1,3
"43",1,4
"44",1,4
"45",1,3
"46",1,5
"47",NA,NA
"48",1,3
"49",1,4
"50",1,4
"51",1,4
"52",1,3
"53",1,5
"54",1,6
"55",1,5
"56",1,4
"57",NA,NA
"58",1,5
"59",1,4
"60",1,3
"61",1,4
"62",1,3
"63",NA,NA
"64",1,4
"65",1,5
"66",1,3
"67",1,5
"68",1,4
"69",1,4
"70",1,6
"71",1,4
"72",1,3
"73",1,4
"74",1,4
"75",1,3
"76",1,5
"77",1,5
"78",1,4
"79",1,2
"80",1,2
"81",1,2
"82",NA,NA
"83",1,4
"84",1,3
"85",1,3
"86",1,4
"87",1,5
"88",1,4
"89",1,5
"90",1,3
"91",1,4
"92",1,4
"93",1,3
"94",1,4
"95",1,4
"96",1,4
"97",1,4
"98",1,3
"99",1,5
"100",2,1
"101",1,2
"102",1,2
"103",1,6
"104",1,4
"105",1,4
"106",1,4
"107",1,2
"108",1,4
"109",1,6
"110",1,4
"111",1,4
"112",1,3
"113",1,3
"114",1,3
"115",1,5
"116",1,4
"117",1,2
"118",1,3
"119",1,4
"120",2,3
"121",1,5
"122",1,4
"123",1,4
"124",1,3
"125",1,5
"126",1,4
"127",1,6
"128",1,4
"129",1,5
"130",1,2
"131",NA,3
"132",NA,NA
"133",1,6
"134",1,6
"135",1,3
"136",1,3
"137",1,4
"138",1,3
"139",1,4
"140",1,3
"141",1,6
"142",1,3
"143",1,4
"144",1,4
"145",1,4
"146",NA,5
"147",1,2
"148",1,4
"149",1,6
"150",1,4
"151",1,5
"152",1,3
"153",1,5
"154",1,6
"155",1,4
"156",1,4
"157",1,4
"158",1,4
"159",1,5
"160",1,5
"161",1,3
"162",1,2
"163",1,4
"164",1,3
"165",2,3
"166",1,4
"167",1,2
"168",1,2
"169",1,4
"170",1,6
"171",1,4
"172",1,5
"173",1,4
"174",1,4
"175",1,3
"176",1,4
"177",1,4
"178",1,5
"179",1,3
"180",1,4
"181",1,4
"182",1,4
"183",1,3
"184",1,3
"185",1,2
"186",1,4
"187",1,2
"188",NA,NA
"189",1,3
"190",1,3
"191",NA,NA
"192",1,5
"193",1,4
"194",1,6
"195",1,4
"196",NA,NA
"197",NA,NA
"198",1,3
"199",1,4
"200",1,5
"201",1,5
"202",1,4
"203",1,5
"204",NA,4
"205",1,5
"206",1,3
"207",1,5
"208",1,1
"209",1,3
"210",1,4
"211",1,4
"212",1,4
"213",1,4
"214",1,5
"215",NA,NA
"216",1,3
"217",1,4
"218",1,5
"219",NA,NA
"220",1,2
"221",NA,NA
"222",1,4
"223",1,2
"224",1,5
"225",1,4
"226",1,2
"227",1,4
"228",2,5
"229",1,2
"230",1,5
"231",1,3
"232",1,4
"233",1,4
"234",NA,NA
"235",1,4
"236",1,3
"237",1,4
"238",1,4
"239",1,5
"240",1,2
"241",1,3
"242",1,4
"243",1,2
"244",1,3
"245",1,3
"246",1,4
"247",1,2
"248",1,4
"249",1,3
"250",1,4
"251",1,4
"252",2,4
"253",1,4
"254",1,4
"255",1,5
"256",1,4
"257",1,4
"258",1,5
"259",1,4
"260",1,5
"261",NA,NA
"262",NA,4
"263",1,6
"264",NA,NA
"265",1,4
"266",1,4
"267",1,5
"268",1,5
"269",1,4
"270",1,3
"271",NA,NA
"272",1,2
"273",1,4
"274",1,4
"275",1,4
"276",1,4
"277",1,4
"278",1,4
"279",1,5
"280",2,4
"281",1,5
"282",1,4
"283",1,2
"284",3,2
"285",1,3
"286",1,1
"287",1,5
"288",1,5
"289",1,3
"290",1,4
"291",1,4
"292",1,3
"293",1,5
"294",1,6
"295",1,4
"296",1,4
"297",1,5
"298",1,3
"299",1,6
"300",1,6
"301",1,6
"302",1,3
"303",1,2
"304",1,3
"305",2,3
"306",1,4
"307",1,3
"308",1,6
"309",1,4
"310",1,3
"311",1,4
"312",1,3
"313",1,3
"314",1,6
"315",1,6
"316",1,4
"317",1,3
"318",1,3
"319",1,2
"320",1,3
"321",1,4
"322",1,3
"323",1,3
"324",1,5
"325",1,2
"326",1,4
"327",1,4
"328",1,4
"329",1,4
"330",1,5
"331",1,3
"332",1,4
"333",1,4
"334",1,5
"335",NA,NA
"336",1,4
"337",1,6
"338",NA,NA
"339",2,3
"340",1,2
"341",1,3
"342",1,4
"343",1,4
"344",2,5
"345",1,5
"346",1,2
"347",1,6
"348",1,5
"349",1,4
"350",NA,NA
"351",1,4
"352",1,4
"353",1,2
"354",1,3
"355",1,3
"356",NA,NA
"357",1,3
"358",1,2
"359",1,2
"360",1,5
"361",1,5
"362",1,2
"363",1,4
"364",1,3
"365",1,4
"366",1,4
"367",1,4
"368",1,4
"369",1,4
"370",1,5
"371",1,3
"372",1,4
"373",1,3
"374",NA,NA
"375",1,4
"376",1,4
"377",1,2
"378",1,5
"379",1,2
"380",1,3
"381",1,6
"382",1,4
"383",1,4
"384",1,2
"385",1,6
"386",1,4
"387",1,4
"388",1,3
"389",1,5
"390",1,4
"391",1,5
"392",NA,NA
"393",1,3
"394",1,6
"395",1,5
"396",1,4
"397",1,3
"398",1,3
"399",1,2
"400",1,5
"401",1,5
"402",1,4
"403",NA,NA
"404",1,4
"405",1,5
"406",1,4
"407",1,2
"408",1,4
"409",1,5
"410",1,2
"411",1,3
"412",1,4
"413",1,5
"414",1,4
"415",1,4
"416",1,3
"417",1,2
"418",1,4
"419",NA,NA
"420",1,5
"421",1,4
"422",1,4
"423",1,4
"424",1,3
"425",1,4
"426",1,6
"427",1,3
"428",1,2
"429",1,5
"430",1,NA
"431",1,4
"432",NA,NA
"433",1,4
"434",1,4
"435",1,5
"436",2,4
"437",1,3
"438",1,4
"439",1,4
"440",1,6
"441",1,4
"442",1,4
"443",1,1
"444",1,3
"445",1,4
"446",1,4
"447",1,3
"448",1,4
"449",1,3
"450",1,4
"451",1,4
"452",1,2
"453",1,4
"454",1,3
"455",1,5
"456",1,2
"457",1,5
"458",1,5
"459",1,4
"460",1,4
"461",1,5
"462",1,2
"463",1,3
"464",1,5
"465",1,5
"466",1,6
"467",1,5
"468",NA,NA
"469",1,5
"470",1,3
"471",1,4
"472",1,2
"473",1,4
"474",1,1
"475",1,5
"476",1,4
"477",1,5
"478",1,4
"479",1,2
"480",1,5
"481",NA,NA
"482",1,5
"483",1,3
"484",1,4
"485",1,5
"486",1,3
"487",NA,4
"488",NA,NA
"489",1,2
"490",1,4
"491",1,4
"492",1,6
"493",NA,NA
"494",1,6
"495",1,4
"496",1,4
"497",1,4
"498",1,4
"499",1,3
"500",NA,NA
"501",1,3
"502",2,4
"503",1,4
"504",1,3
"505",1,4
"506",1,6
"507",1,4
"508",NA,NA
"509",1,4
"510",1,3
"511",1,4
"512",1,4
"513",1,2
"514",1,4
"515",1,3
"516",1,3
"517",1,5
