"","birth_country","resident_country"
"1","germany","france"
"2","usa","usa"
"3","germany","germany"
"4","germany","germany"
"5","usa","usa"
"6","thailand","australia"
"7","germany","germany"
"8","croatia","croatia"
"9","usa","usa"
"10","china","china"
"11","australia","united kingdom"
"12","usa","usa"
"13","germany","germany"
"14","brazil","brazil"
"15","usa","usa"
"16","united kingdom","usa"
"17","united kingdom","united kingdom"
"18","united kingdom","united kingdom"
"19","austria","austria"
"20","netherlands","netherlands"
"21","italy","canada"
"22","germany","germany"
"23","not stated","not stated"
"24","germany","germany"
"25","germany","germany"
"26","germany","germany"
"27","usa","usa"
"28","france","france"
"29","austria","austria"
"30","france","france"
"31","korea","korea"
"32","usa","usa"
"33","usa","usa"
"34","germany","germany"
"35","australia","spain"
"36","usa","usa"
"37","romania","romania"
"38","china","china"
"39","usa","usa"
"40","usa","usa"
"41","usa","australia"
"42","united kingdom","united kingdom"
"43","usa","usa"
"44","germany","germany"
"45","united kingdom","united kingdom"
"46","china","canada"
"47","not stated","not stated"
"48","canada","canada"
"49","united kingdom","united kingdom"
"50","france","switzerland"
"51","usa","united kingdom"
"52","usa","usa"
"53","usa","usa"
"54","usa","usa"
"55","usa","usa"
"56","usa","usa"
"57","not stated","not stated"
"58","usa","usa"
"59","guatemala","guatemala"
"60","germany","germany"
"61","not stated","not stated"
"62","russian federation","russian federation"
"63","not stated","not stated"
"64","sri lanka","usa"
"65","usa","canada"
"66","italy","italy"
"67","india","usa"
"68","poland","germany"
"69","germany","germany"
"70","germany","germany"
"71","united kingdom","united kingdom"
"72","netherlands","netherlands"
"73","usa","usa"
"74","hungary","usa"
"75","brazil","brazil"
"76","germany","germany"
"77","germany","germany"
"78","spain","spain"
"79","france","france"
"80","japan","japan"
"81","sweden","sweden"
"82","not stated","not stated"
"83","israel","israel"
"84","usa","usa"
"85","australia","australia"
"86","indonesia","indonesia"
"87","germany","germany"
"88","usa","usa"
"89","india","india"
"90","finland","finland"
"91","united kingdom","united kingdom"
"92","germany","germany"
"93","brazil","brazil"
"94","germany","germany"
"95","france","france"
"96","usa","usa"
"97","united kingdom","switzerland"
"98","germany","germany"
"99","philippines","usa"
"100","niger","cambodia"
"101","france","spain"
"102","usa","usa"
"103","germany","germany"
"104","germany","germany"
"105","united kingdom","united kingdom"
"106","usa","usa"
"107","australia","australia"
"108","brazil","netherlands"
"109","usa","usa"
"110","germany","germany"
"111","ukraine","ukraine"
"112","russian federation","russian federation"
"113","germany","germany"
"114","russian federation","russian federation"
"115","usa","usa"
"116","germany","germany"
"117","belgium","belgium"
"118","russian federation","belarus"
"119","germany","germany"
"120","usa","usa"
"121","germany","germany"
"122","france","france"
"123","romania","spain"
"124","russian federation","russian federation"
"125","slovenia","slovenia"
"126","usa","usa"
"127","usa","usa"
"128","south africa","south africa"
"129","germany","germany"
"130","austria","austria"
"131","poland","usa"
"132","not stated","not stated"
"133","usa","usa"
"134","usa","usa"
"135","brazil","brazil"
"136","not stated","not stated"
"137","portugal","portugal"
"138","germany","germany"
"139","germany","germany"
"140","poland","poland"
"141","germany","germany"
"142","usa","usa"
"143","india","india"
"144","united kingdom","united kingdom"
"145","usa","usa"
