"","x"
"usa",1555
"germany",687
"not stated",455
"united kingdom",344
"australia",178
"canada",178
"russian federation",123
"france",121
"austria",91
"norway",78
"brazil",75
"india",70
"netherlands",67
"switzerland",63
"spain",60
"sweden",49
"italy",45
"ukraine",41
"new zealand",37
"israel",35
"denmark",34
"poland",33
"china",29
"finland",26
"japan",24
"romania",23
"hungary",20
"belgium",16
"portugal",16
"ireland",15
"mexico",15
"singapore",13
"argentina",12
"belarus",12
"indonesia",12
"croatia",11
"south africa",9
"bulgaria",8
"greece",8
"slovakia",8
"korea",7
"slovenia",6
"thailand",6
"turkey",6
"czech republic",5
"hong kong",5
"luxembourg",5
"philippines",5
"taiwan",5
"iceland",4
"catalonia",3
"colombia",3
"costa rica",3
"lithuania",3
"bavaria",2
"egypt",2
"estonia",2
"germay",2
"guatemala",2
"jordan",2
"lebanon",2
"peru",2
"venezuela",2
"afghanistan",1
"austria/germany/the netherlands",1
"bahrain",1
"bamberg",1
"bavaria :-)",1
"bratislava",1
"burgenland",1
"cambodia",1
"caracas",1
"chennai",1
"chile",1
"china (prc)",1
"d",1
"delft",1
"earth",1
"ecuador",1
"ee",1
"engand",1
"erlangen",1
"es",1
"eu",1
"europa",1
"europe",1
"everywhere",1
"franca",1
"french polynesia",1
"gb",1
"german",1
"gibraltar",1
"guangzhou",1
"holy see (vatican city state)",1
"indaiatuba",1
"istanbul",1
"jakarta",1
"katzenscheisse",1
"kazakhstan",1
"(Other)",29
