"","highest_qual","post_school_training_Computing","post_school_trainingArts","post_school_training_Creative.Arts","post_school_training_post_school_training_Languages","post_school_trainingScience","post_school_training_Social.Science","post_school_training_post_school_training_Mathematics","post_school_trainingEngineering","post_school_training_Education","post_school_training_Other"
"1",2,0,0,0,0,0,0,0,0,0,0
"2",4,0,1,0,0,0,1,0,0,0,0
"3",4,1,0,0,0,0,0,0,1,0,0
"4",4,0,0,0,0,1,0,0,0,0,0
"5",1,0,0,1,0,0,0,0,0,0,0
"6",3,1,0,0,0,0,0,0,1,0,0
"7",2,0,0,0,0,0,0,0,0,0,0
"8",2,1,0,0,0,0,0,0,1,0,0
"9",3,1,0,0,0,0,0,0,0,0,0
"10",4,1,0,0,0,1,0,0,0,0,0
"11",3,1,0,0,0,1,0,0,1,0,0
"12",3,1,0,0,0,0,0,0,1,0,0
"13",2,1,0,0,0,0,0,0,1,1,0
"14",3,0,0,0,0,0,0,0,0,0,0
"15",NA,0,0,0,0,0,0,0,0,0,0
"16",4,0,0,0,1,0,1,0,0,0,0
"17",3,0,1,0,1,0,0,0,0,0,0
"18",3,0,0,0,0,0,0,1,0,0,0
"19",4,1,0,0,0,0,0,0,0,0,0
"20",4,1,0,0,0,0,0,0,0,0,0
"21",4,0,0,0,0,0,0,0,0,0,0
"22",NA,0,0,0,0,0,0,0,0,0,0
"23",NA,0,0,0,0,0,0,0,0,0,0
"24",2,1,0,0,0,0,0,0,0,0,1
"25",4,1,0,1,0,0,0,0,1,0,0
"26",4,0,0,0,0,0,0,0,0,0,0
"27",3,1,0,0,0,0,0,1,0,0,0
"28",3,1,0,0,0,0,0,0,0,0,0
"29",4,0,0,0,0,0,0,0,1,0,0
"30",4,0,0,0,0,0,0,0,0,0,0
"31",4,1,0,0,0,1,0,0,0,0,0
"32",4,0,0,0,0,1,0,0,1,0,0
"33",4,1,0,0,1,0,0,0,0,0,0
"34",4,1,0,0,0,1,0,1,0,0,0
"35",3,0,0,0,1,0,0,0,0,0,1
"36",4,1,0,0,0,0,0,0,0,0,0
"37",4,0,0,0,1,0,0,0,0,0,0
