"","formally_taught_perl","formally_taught_other_os_language","other_os_language_taught"
"1",1,2,""
"2",1,1,""
"3",1,2,""
"4",1,1,""
"5",1,1,""
"6",1,2,"Make"
"7",1,NA,""
"8",1,3,""
"9",1,2,"slight amounts of javascript in a single class"
"10",1,1,""
"11",1,5,"PHP - a small amount"
"12",2,1,""
"13",1,1,""
"14",1,1,""
"15",NA,NA,""
"16",3,3,"Python"
"17",1,1,""
"18",1,1,""
"19",1,1,""
"20",1,3,"Haskell, prolog"
"21",1,1,""
"22",NA,NA,""
"23",NA,NA,""
"24",1,1,""
"25",2,3,"javascript"
"26",1,5,"C / C++"
"27",1,1,""
"28",1,2,""
"29",1,1,""
"30",3,3,"python"
"31",5,1,""
"32",1,4,"C, C++, Java"
"33",1,1,""
"34",1,4,"Scheme, Smalltalk, Common Lisp, ML, Prolog, Miranda, Haskell"
"35",1,1,""
"36",1,1,""
"37",1,4,"php"
"38",1,1,""
"39",2,1,""
"40",1,3,"Java"
"41",1,1,""
"42",1,1,""
"43",1,1,""
"44",1,3,"PHP"
"45",1,1,""
"46",1,1,""
"47",NA,NA,""
"48",1,1,""
"49",1,1,""
"50",1,1,""
"51",1,1,""
"52",1,1,""
"53",1,1,""
"54",2,3,"Lisp: very little."
"55",1,1,""
"56",1,1,""
"57",NA,NA,""
"58",2,1,"Shell and a few other low level languages."
"59",1,1,""
"60",1,1,""
"61",1,1,""
"62",1,2,""
"63",NA,NA,""
"64",1,1,""
"65",1,5,"LISP"
"66",2,3,"python"
"67",1,1,""
"68",3,1,""
"69",1,4,"Lisp"
"70",1,1,""
"71",1,1,""
"72",2,1,""
"73",1,1,""
"74",3,2,""
"75",1,1,""
"76",2,2,""
"77",1,1,""
"78",3,3,"perl, php, tcl"
"79",4,3,"php"
"80",NA,NA,""
"81",1,1,""
"82",NA,NA,""
"83",1,1,""
"84",1,1,""
"85",1,1,""
"86",NA,NA,""
"87",1,1,"Emacs Lisp"
"88",1,2,""
"89",1,1,""
"90",1,2,"Python"
"91",1,1,""
"92",1,1,""
"93",1,1,""
"94",1,1,"VB 6 ;-)"
"95",2,3,"tcl"
"96",1,1,""
"97",1,3,"Java, if that qualifies as dynamic."
"98",1,1,""
"99",1,1,""
"100",5,1,""
"101",4,5,"Python, Ruby"
"102",1,1,""
"103",1,1,""
"104",3,2,""
"105",1,1,""
"106",1,1,""
"107",5,4,"Ruby, Python, Scheme"
"108",1,1,""
"109",1,1,""
"110",3,2,""
"111",1,1,""
"112",1,1,""
"113",1,1,""
"114",4,4,""
"115",1,1,""
"116",1,1,""
"117",3,2,""
"118",1,1,""
"119",2,1,""
"120",1,1,""
"121",1,3,""
"122",1,1,""
"123",1,1,""
"124",NA,NA,""
"125",1,1,""
"126",1,1,""
"127",1,1,""
"128",1,1,""
"129",1,1,""
"130",1,1,""
"131",1,1,""
"132",NA,NA,""
"133",1,1,""
"134",1,1,""
"135",1,1,""
"136",3,1,""
"137",1,1,""
"138",1,1,""
"139",1,1,""
"140",1,1,""
"141",1,2,""
"142",2,3,""
"143",1,1,""
"144",NA,NA,""
"145",1,1,""
"146",1,1,""
"147",1,1,""
"148",1,1,""
"149",1,2,""
"150",1,1,""
"151",1,1,""
"152",1,1,""
