"","programming_computers_for","programming_perl_for","work_proportion_programming_software_projects","work_proportion_programming_software_projects_not_writing_code","time_percentage_programming_perl","programming_in_spare_time"
"1",5,3,5,3,4,5
"2",5,4,3,4,5,3
"3",5,5,2,2,4,3
"4",5,5,2,1,5,2
"5",4,4,5,2,5,4
"6",5,3,4,3,5,2
"7",6,2,5,4,4,3
"8",5,1,5,2,2,3
"9",5,5,5,2,5,2
"10",4,3,4,3,3,4
"11",4,3,4,5,1,3
"12",5,5,4,2,4,2
"13",5,5,4,4,4,2
"14",5,3,5,1,3,6
"15",NA,NA,NA,NA,NA,NA
"16",5,1,1,2,1,2
"17",1,1,2,5,1,2
"18",6,5,5,3,4,4
"19",6,5,2,3,4,2
"20",4,2,3,3,2,5
"21",6,5,5,2,5,2
"22",NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA
"24",4,2,5,2,5,3
"25",NA,NA,NA,NA,NA,NA
"26",5,2,3,4,4,3
"27",5,4,5,4,3,3
"28",5,4,5,4,5,3
"29",6,4,2,2,1,2
"30",4,3,4,3,3,3
"31",5,3,3,3,4,4
"32",6,5,4,4,5,2
"33",6,4,4,3,4,2
"34",6,5,4,4,1,2
"35",6,5,3,3,1,3
"36",5,5,5,1,5,2
"37",5,4,5,2,4,2
"38",3,2,2,2,5,5
"39",6,5,2,5,5,2
"40",NA,NA,NA,NA,NA,NA
"41",5,4,5,2,5,2
"42",5,3,5,3,1,4
"43",NA,NA,NA,NA,NA,NA
"44",6,3,5,2,1,3
"45",5,4,5,3,5,4
"46",5,3,3,3,2,2
"47",NA,NA,NA,NA,NA,NA
"48",5,4,1,1,1,4
"49",4,4,5,1,5,2
"50",5,4,3,2,4,2
"51",2,2,3,4,5,3
"52",6,4,5,2,1,5
"53",6,3,2,4,2,1
"54",6,3,5,3,4,3
"55",6,5,2,5,2,5
"56",5,5,3,2,5,4
"57",NA,NA,NA,NA,NA,NA
"58",5,3,1,5,2,3
"59",2,2,3,2,4,4
"60",4,2,2,3,2,3
"61",6,5,3,2,4,4
"62",4,2,5,4,1,6
"63",NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA
"65",6,5,3,3,3,5
"66",3,2,4,3,3,4
"67",6,4,5,2,5,3
"68",5,4,5,2,5,3
"69",5,4,4,2,5,2
"70",NA,NA,NA,NA,NA,NA
"71",6,4,2,1,5,2
"72",4,4,2,5,4,5
"73",5,5,3,3,3,3
"74",5,4,3,3,5,3
"75",5,5,4,3,5,4
"76",5,2,2,4,1,4
"77",5,4,4,2,5,4
"78",5,4,5,2,1,2
"79",4,2,5,2,1,4
"80",NA,NA,NA,NA,NA,NA
"81",3,3,5,2,5,4
"82",NA,NA,NA,NA,NA,NA
"83",6,5,5,2,4,5
"84",5,3,5,5,5,2
"85",4,4,5,2,5,2
"86",NA,NA,NA,NA,NA,NA
"87",6,5,4,3,1,4
"88",5,3,5,3,5,2
"89",5,4,5,3,4,5
"90",5,4,5,3,5,4
"91",6,5,2,1,5,3
"92",6,5,2,3,1,3
"93",4,1,4,2,5,3
"94",6,5,2,2,5,3
"95",5,4,5,5,1,3
"96",5,5,5,2,5,5
"97",6,4,3,4,5,4
"98",5,5,1,1,4,4
"99",6,3,5,2,2,2
"100",1,6,5,5,5,6
"101",NA,NA,NA,NA,NA,NA
"102",3,2,3,5,3,3
"103",6,5,5,5,5,4
"104",3,3,5,2,5,3
"105",5,5,5,3,4,2
"106",6,5,5,2,5,2
"107",5,3,4,4,1,4
"108",6,5,5,2,5,3
"109",6,5,2,3,5,4
"110",4,5,5,2,4,4
"111",6,5,5,2,2,4
"112",5,4,5,2,5,4
"113",NA,NA,NA,NA,NA,NA
"114",4,4,5,2,5,NA
"115",5,5,5,3,1,4
"116",NA,NA,NA,NA,NA,NA
"117",3,3,5,2,3,5
"118",5,5,5,2,1,4
"119",6,4,5,3,3,5
"120",2,2,2,2,5,1
"121",6,5,4,4,2,3
"122",NA,NA,NA,NA,NA,NA
"123",6,3,2,1,4,3
"124",NA,NA,NA,NA,NA,NA
"125",6,5,2,3,1,4
"126",4,4,4,3,5,4
"127",6,1,1,1,1,2
"128",5,4,3,1,5,3
"129",6,5,4,2,3,4
"130",NA,NA,NA,NA,NA,NA
"131",4,3,1,4,5,2
"132",NA,NA,NA,NA,NA,NA
"133",6,2,2,1,5,4
"134",6,5,NA,NA,NA,4
"135",5,5,5,2,4,3
"136",6,4,5,4,2,3
"137",6,5,5,2,5,3
"138",3,2,4,2,5,3
"139",5,2,3,3,2,4
"140",4,2,5,2,1,6
"141",6,3,5,3,2,5
"142",5,2,3,1,5,5
"143",5,4,5,2,2,4
"144",NA,NA,NA,NA,NA,NA
"145",6,5,5,3,3,4
"146",6,5,2,1,5,3
"147",NA,NA,NA,NA,NA,NA
"148",5,3,5,2,2,2
"149",6,4,4,3,1,3
"150",5,5,4,3,4,2
"151",6,5,1,5,1,2
"152",3,3,4,2,4,5
"153",NA,NA,NA,NA,NA,NA
"154",5,4,NA,1,5,4
"155",5,5,4,3,2,2
"156",NA,NA,NA,NA,NA,NA
"157",5,4,5,3,2,3
"158",4,4,5,5,1,2
"159",6,5,2,2,5,4
"160",5,4,2,NA,NA,NA
"161",3,2,2,4,1,4
"162",4,4,3,4,1,4
"163",4,4,3,4,1,3
"164",3,3,4,2,4,4
"165",4,3,5,5,2,2
"166",5,5,5,1,5,3
"167",4,3,4,3,1,3
"168",4,2,5,1,1,6
"169",6,5,3,2,4,3
"170",6,5,4,3,5,4
"171",5,5,4,3,5,4
"172",2,1,5,2,5,4
"173",6,4,2,5,2,5
"174",4,2,4,3,5,4
"175",NA,NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA,NA
"178",6,3,3,1,3,4
"179",4,3,5,3,3,4
"180",5,5,4,4,3,3
"181",5,2,5,2,3,3
"182",NA,NA,NA,NA,NA,NA
"183",4,4,2,3,5,2
"184",3,3,3,2,5,5
"185",2,2,5,1,2,4
"186",5,5,5,4,1,3
"187",3,2,5,1,5,5
"188",NA,NA,NA,NA,NA,NA
"189",4,3,5,3,1,2
"190",NA,NA,NA,NA,NA,NA
"191",NA,NA,NA,NA,NA,NA
"192",6,5,5,5,3,2
"193",6,5,4,3,5,3
"194",6,5,4,3,4,3
"195",4,4,5,1,5,3
"196",NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA,NA
"198",3,3,5,2,2,2
