"","versions_of_perl_commonly_used_5.4","versions_of_perl_commonly_used_5.0005","versions_of_perl_commonly_used_5.6","versions_of_perl_commonly_used_5.8","versions_of_perl_commonly_used_5.10","versions_of_perl_commonly_used_5.12","version_of_perl_used_most_frequently"
"1",0,0,0,0,0,1,6
"2",0,0,0,1,1,0,5
"3",0,0,0,1,1,0,4
"4",0,0,0,0,1,0,5
"5",0,0,1,1,0,0,4
"6",0,0,0,0,1,0,5
"7",0,0,0,0,1,0,5
"8",0,0,0,1,0,0,4
"9",0,0,0,1,1,1,4
"10",0,0,0,1,1,1,6
"11",0,0,1,0,0,0,3
"12",0,0,0,1,0,0,4
"13",0,0,0,1,1,0,5
"14",0,0,0,1,1,1,5
"15",0,0,0,0,0,0,NA
"16",0,0,0,0,1,0,5
"17",0,0,0,1,1,1,5
"18",0,0,0,1,1,0,4
"19",0,0,0,1,1,0,4
"20",0,0,0,1,0,1,4
"21",0,0,0,1,1,0,4
"22",0,0,0,0,0,0,NA
"23",0,0,0,0,0,0,NA
"24",0,0,0,1,1,1,4
"25",0,0,0,0,0,0,NA
"26",0,0,0,0,1,1,6
"27",0,0,0,1,1,0,4
"28",0,0,1,1,1,0,4
"29",0,0,0,0,1,0,NA
"30",0,0,0,1,1,1,5
"31",0,0,0,1,1,1,5
"32",0,0,1,1,1,0,4
"33",0,0,0,1,1,0,5
"34",1,0,0,1,0,0,4
"35",0,0,0,0,1,0,5
"36",0,0,0,1,1,0,4
"37",0,0,0,1,1,0,5
"38",0,0,0,1,1,1,5
"39",0,0,0,1,0,0,4
"40",0,0,0,0,0,0,NA
"41",0,0,0,1,1,0,4
"42",0,0,0,1,0,0,4
"43",0,0,0,0,0,0,NA
"44",0,0,0,0,1,0,5
"45",0,0,0,1,1,0,5
"46",0,0,1,0,0,0,3
"47",0,0,0,0,0,0,NA
"48",0,0,0,0,0,0,NA
"49",0,0,0,1,0,0,4
"50",0,0,0,0,1,0,5
"51",0,0,0,1,1,0,4
"52",0,0,0,0,1,1,5
"53",0,0,0,0,1,0,5
"54",0,0,1,0,0,0,3
"55",0,0,1,1,1,0,4
"56",0,0,0,1,1,1,4
"57",0,0,0,0,0,0,NA
"58",0,0,0,1,1,0,4
"59",0,0,0,1,1,0,4
"60",0,0,0,0,0,1,6
"61",0,0,0,1,1,0,5
"62",0,0,0,0,1,1,5
"63",0,0,0,0,0,0,NA
"64",0,0,0,0,0,0,NA
"65",1,0,1,0,1,0,5
"66",0,0,0,0,1,0,5
"67",0,0,0,1,1,0,5
"68",0,0,0,1,1,0,4
"69",0,0,0,1,0,0,4
"70",0,0,0,0,0,0,NA
"71",0,0,0,1,1,0,5
"72",0,0,0,0,1,0,5
"73",0,0,0,1,0,0,4
"74",0,0,0,1,1,0,4
"75",0,0,0,0,1,0,5
"76",0,0,0,1,0,0,4
"77",0,0,0,0,1,0,5
"78",0,0,0,1,1,1,5
"79",0,0,0,0,0,0,NA
"80",0,0,0,0,0,0,NA
"81",0,0,0,1,1,0,5
"82",0,0,0,0,0,0,NA
"83",0,0,0,1,1,0,5
"84",0,0,0,1,1,0,4
"85",0,0,0,1,1,1,5
"86",0,0,0,0,0,0,NA
"87",0,0,0,0,1,0,5
"88",0,0,0,1,1,0,5
"89",0,0,0,1,1,0,4
"90",0,0,0,0,1,1,5
"91",0,0,0,0,1,0,5
"92",0,0,0,1,1,0,5
"93",0,0,0,0,1,0,5
"94",0,0,1,1,1,0,5
"95",0,0,0,1,1,1,5
"96",0,0,0,1,1,0,5
"97",0,0,0,1,1,0,5
"98",0,0,0,1,0,0,4
"99",0,0,0,1,0,0,4
"100",1,0,0,0,0,0,6
"101",0,0,0,0,0,0,NA
"102",0,0,0,1,1,1,6
"103",0,0,0,1,0,0,4
"104",0,0,0,1,1,0,5
"105",0,0,0,1,1,0,4
"106",0,0,0,1,0,0,4
"107",0,0,0,0,0,1,6
"108",0,0,0,1,1,0,4
"109",1,1,0,1,0,0,1
"110",0,0,0,1,1,0,5
"111",0,0,1,1,0,0,4
"112",0,0,0,1,0,1,4
"113",0,0,0,0,0,0,NA
"114",0,0,0,1,1,0,5
"115",0,0,0,1,1,0,5
"116",0,0,0,0,0,0,NA
"117",0,0,0,0,1,0,5
"118",0,0,0,0,1,1,6
"119",0,0,0,1,1,0,5
"120",0,0,0,1,1,0,5
"121",0,0,0,0,1,0,5
"122",0,0,0,0,0,0,NA
"123",0,0,0,1,1,0,4
"124",0,0,0,0,0,0,NA
"125",0,0,1,1,0,0,4
"126",0,0,0,1,0,0,4
"127",0,0,0,0,0,1,6
"128",0,0,0,0,1,0,5
"129",0,0,0,1,0,0,4
"130",0,0,0,0,0,0,NA
"131",0,0,0,1,0,0,4
"132",0,0,0,0,0,0,NA
"133",0,0,0,0,1,0,5
"134",0,0,0,0,1,1,6
"135",0,0,0,0,1,0,5
"136",0,0,0,1,1,0,4
"137",0,0,0,1,1,0,5
"138",0,0,0,1,1,0,5
"139",0,0,0,0,1,1,5
"140",0,0,0,0,1,0,5
"141",0,0,1,0,0,0,3
"142",0,0,0,0,0,1,6
"143",0,0,0,0,1,0,6
