"","win_os_perl_distro_strawberry","win_os_perl_distro_activestate","win_os_perl_distro_cygwin","win_os_perl_distro_other","win_os_perl_distro_best"
"1",1,0,0,0,1
"2",0,0,0,0,NA
"3",0,1,0,0,2
"4",0,0,0,0,NA
"5",0,0,0,0,NA
"6",1,0,0,0,1
"7",0,0,0,0,NA
"8",0,1,0,0,2
"9",0,0,0,0,NA
"10",0,1,0,0,2
"11",0,0,0,0,NA
"12",0,0,0,0,NA
"13",0,0,0,0,NA
"14",1,0,0,0,1
"15",0,0,0,0,NA
"16",0,0,0,0,NA
"17",0,0,0,0,NA
"18",0,0,0,0,NA
"19",0,0,0,0,NA
"20",0,0,0,0,NA
"21",0,1,0,0,2
"22",0,0,0,0,NA
"23",0,0,0,0,NA
"24",1,1,0,0,2
"25",0,0,0,0,NA
"26",0,0,0,0,NA
"27",0,1,0,0,1
"28",0,0,1,0,3
"29",0,1,1,0,2
"30",0,0,0,0,NA
"31",1,0,0,0,1
"32",0,1,0,0,2
"33",0,0,0,0,NA
"34",0,1,0,0,2
"35",1,0,0,0,1
"36",1,0,0,0,1
"37",0,1,0,0,2
"38",1,0,0,0,1
"39",0,0,0,0,NA
"40",0,0,0,0,NA
"41",0,0,0,0,NA
"42",0,0,0,0,NA
"43",0,0,0,0,NA
"44",0,0,1,0,3
"45",0,0,0,0,NA
"46",0,0,0,0,NA
"47",0,0,0,0,NA
"48",0,0,0,0,NA
"49",1,0,0,0,1
"50",0,0,0,0,NA
"51",0,1,0,0,2
"52",0,1,1,0,2
"53",0,0,1,0,3
"54",0,1,0,0,2
"55",0,0,0,0,NA
"56",1,0,0,0,1
"57",0,0,0,0,NA
"58",1,1,0,0,2
"59",0,0,0,0,NA
"60",0,0,0,0,NA
"61",1,1,0,0,1
"62",0,0,0,0,NA
"63",0,0,0,0,NA
"64",0,0,0,0,NA
"65",0,1,1,0,3
"66",0,1,0,0,2
"67",0,0,0,0,NA
"68",0,0,0,0,NA
"69",0,0,0,0,NA
"70",0,0,0,0,NA
"71",0,0,0,0,NA
"72",0,0,0,0,1
"73",0,1,0,0,2
"74",0,0,0,0,NA
"75",0,0,0,0,NA
"76",0,0,0,0,NA
"77",0,1,0,0,2
"78",0,0,0,0,NA
"79",0,1,1,0,3
"80",0,0,0,0,NA
"81",1,0,0,0,1
"82",0,0,0,0,NA
"83",0,0,1,0,1
"84",0,0,0,0,NA
"85",0,0,0,0,NA
"86",0,0,0,0,NA
"87",0,0,0,0,NA
"88",0,0,0,0,NA
"89",0,0,0,0,NA
"90",0,0,0,0,NA
"91",0,0,0,0,NA
"92",0,0,1,0,3
"93",0,0,0,0,NA
"94",0,1,0,0,2
"95",0,0,1,0,NA
"96",0,0,0,0,NA
"97",1,0,0,0,1
"98",0,0,0,0,NA
"99",0,0,0,0,NA
"100",1,0,0,0,2
"101",0,0,0,0,NA
"102",0,0,0,0,NA
"103",0,0,0,0,NA
"104",0,0,0,0,NA
"105",0,0,0,0,NA
"106",1,0,0,0,1
"107",0,0,0,0,NA
"108",0,0,0,0,NA
"109",0,1,0,0,2
"110",0,1,0,0,2
"111",0,1,0,0,2
"112",0,0,0,0,NA
"113",0,0,0,0,NA
"114",1,0,0,0,1
"115",0,0,0,0,NA
"116",0,0,0,0,NA
"117",1,1,0,0,1
"118",0,1,0,0,2
"119",0,1,1,0,2
"120",0,0,0,0,NA
"121",0,1,0,0,2
"122",0,0,0,0,NA
"123",0,0,0,0,NA
"124",0,0,0,0,NA
"125",0,0,0,0,NA
"126",0,1,0,0,1
"127",0,0,0,0,NA
"128",0,1,0,0,1
"129",0,1,0,0,2
"130",0,0,0,0,NA
"131",0,0,0,0,NA
"132",0,0,0,0,NA
"133",1,0,0,0,1
"134",1,0,0,0,1
"135",0,0,0,0,NA
"136",0,0,0,0,NA
"137",0,0,0,0,NA
"138",0,0,0,0,NA
"139",0,0,0,0,NA
"140",0,1,0,0,2
"141",0,1,0,0,2
"142",0,0,0,0,NA
"143",0,1,1,0,2
"144",0,0,0,0,NA
"145",0,1,0,0,2
"146",1,0,0,0,NA
"147",0,0,0,0,NA
"148",0,1,0,0,2
"149",0,1,0,0,2
"150",0,0,0,0,NA
"151",0,1,0,0,1
"152",1,0,0,0,1
"153",0,0,0,0,NA
"154",0,1,0,0,2
"155",1,0,0,0,1
"156",0,0,0,0,NA
"157",0,0,0,0,NA
"158",0,0,0,0,NA
"159",0,0,0,0,NA
"160",0,0,0,0,NA
"161",0,1,0,0,2
"162",0,0,0,0,NA
"163",1,1,0,0,1
"164",1,0,0,0,1
"165",1,0,0,0,1
"166",0,0,0,0,NA
"167",1,0,0,0,1
"168",0,0,0,0,NA
"169",0,0,0,0,NA
"170",0,0,1,0,3
"171",1,0,0,0,1
"172",0,0,0,0,NA
"173",0,0,0,0,NA
"174",1,0,0,0,1
"175",0,0,0,0,NA
"176",0,0,0,0,NA
"177",0,0,0,0,NA
"178",0,1,0,0,2
"179",0,0,0,0,NA
"180",0,0,0,0,NA
"181",0,0,0,0,NA
"182",0,0,0,0,NA
"183",1,1,0,0,1
"184",1,0,0,0,1
"185",0,0,0,0,NA
"186",0,0,0,0,NA
"187",1,0,0,0,1
"188",0,0,0,0,NA
"189",0,1,1,1,2
"190",0,0,0,0,NA
"191",0,0,0,0,NA
"192",0,0,0,0,NA
"193",0,1,0,0,2
"194",0,1,0,0,2
"195",1,1,0,0,1
"196",0,0,0,0,NA
"197",0,0,0,0,NA
"198",1,1,0,0,1
"199",1,0,0,0,1
"200",0,0,0,0,NA
"201",0,0,0,0,NA
"202",0,0,0,0,NA
"203",1,0,0,0,1
"204",0,0,0,0,NA
"205",0,0,0,0,NA
"206",0,1,0,0,2
"207",1,1,0,0,1
"208",1,0,1,0,1
"209",1,0,0,0,1
"210",0,0,1,0,3
"211",0,1,0,0,2
"212",0,0,0,0,NA
"213",0,0,0,0,NA
"214",0,1,0,0,2
"215",0,0,0,0,NA
"216",1,0,0,0,1
"217",0,0,0,0,NA
"218",0,0,0,0,NA
"219",0,0,0,0,NA
"220",0,0,0,0,NA
"221",0,0,0,0,NA
"222",0,1,0,0,2
"223",0,0,0,0,NA
"224",0,0,1,0,3
"225",0,0,0,0,NA
"226",1,0,1,0,1
"227",0,0,0,0,NA
"228",0,0,0,0,NA
"229",0,0,0,0,NA
"230",0,0,0,1,4
"231",0,0,0,0,NA
"232",0,0,0,0,NA
"233",0,0,0,0,NA
"234",0,0,0,0,NA
"235",0,1,0,0,2
"236",0,1,0,0,NA
"237",0,0,1,0,3
"238",0,1,0,0,2
"239",1,0,0,0,1
"240",0,1,0,0,2
"241",1,0,0,0,1
"242",1,1,0,0,1
"243",0,0,0,0,NA
"244",0,0,0,0,NA
"245",0,0,0,0,NA
"246",0,0,0,0,NA
"247",1,0,0,0,1
"248",0,0,0,0,NA
"249",0,1,0,0,2
"250",0,0,0,0,NA
"251",0,0,0,0,NA
"252",0,0,0,0,NA
"253",0,0,1,0,3
"254",0,0,0,0,NA
"255",0,0,0,0,NA
"256",0,0,0,0,NA
"257",0,1,0,0,2
"258",0,1,0,0,3
"259",1,0,0,0,1
"260",0,0,0,0,NA
"261",0,0,0,0,NA
"262",0,1,1,0,2
"263",0,0,0,0,NA
"264",0,0,0,0,NA
"265",0,1,0,0,2
"266",0,0,0,0,NA
"267",0,1,0,0,2
"268",0,0,1,0,3
"269",0,0,0,0,NA
"270",1,0,0,0,1
"271",0,0,0,0,NA
"272",0,0,0,0,NA
"273",1,0,0,0,1
"274",0,0,1,0,3
"275",0,1,0,0,2
"276",0,0,0,0,NA
"277",0,1,0,0,2
"278",0,1,1,0,3
"279",0,0,0,0,NA
"280",0,0,1,0,3
"281",0,1,0,0,2
"282",0,0,0,0,NA
"283",1,0,0,0,1
"284",0,0,0,0,NA
"285",0,0,0,0,NA
"286",0,0,0,0,NA
"287",1,1,0,0,1
"288",0,1,0,0,4
"289",0,0,0,0,NA
"290",0,0,0,0,NA
"291",0,0,1,0,3
"292",0,0,0,0,NA
"293",0,0,0,0,NA
"294",0,1,0,0,2
"295",0,1,0,0,2
"296",0,1,0,0,NA
"297",0,0,1,0,3
"298",1,1,1,0,2
"299",0,1,0,0,2
"300",0,1,0,0,2
"301",0,1,0,0,2
"302",0,1,0,0,2
"303",0,0,0,0,NA
"304",1,0,0,0,1
"305",0,1,1,0,2
"306",0,1,0,0,2
"307",1,0,0,0,1
"308",0,0,1,0,3
"309",0,1,0,0,2
"310",0,0,0,0,NA
"311",0,1,0,0,2
"312",0,0,0,0,NA
"313",0,0,0,0,NA
"314",0,1,0,0,1
"315",0,1,0,0,2
"316",0,0,0,0,NA
"317",0,0,0,0,NA
"318",0,0,0,0,NA
"319",1,0,0,0,1
"320",0,1,1,0,2
"321",0,0,0,0,NA
"322",0,0,0,0,NA
"323",0,0,0,0,NA
"324",0,0,0,0,NA
"325",0,0,0,0,NA
"326",0,1,0,0,4
"327",0,0,0,0,NA
"328",0,0,0,0,NA
"329",0,0,0,0,NA
"330",0,1,0,0,2
"331",0,0,0,0,NA
"332",0,0,0,0,NA
"333",0,0,0,0,NA
"334",0,0,0,0,2
"335",0,0,0,0,NA
"336",0,1,0,0,2
"337",0,0,0,0,NA
"338",0,0,0,0,NA
"339",0,0,0,0,NA
"340",0,1,0,0,2
"341",0,1,0,0,NA
"342",0,0,0,0,NA
"343",0,0,0,0,NA
"344",0,1,0,1,2
"345",0,0,1,0,3
"346",1,1,0,0,1
"347",0,1,0,0,2
"348",0,1,0,0,2
"349",0,0,0,0,NA
"350",0,0,0,0,NA
"351",0,0,0,0,NA
"352",0,1,0,0,2
"353",0,0,0,0,NA
"354",0,0,0,0,NA
"355",1,0,0,0,1
"356",0,0,0,0,NA
"357",0,0,0,0,NA
"358",0,0,0,0,NA
"359",0,0,0,0,NA
"360",0,1,0,0,2
"361",0,1,0,0,2
"362",0,0,0,0,NA
"363",1,0,0,0,1
"364",0,0,0,0,NA
"365",0,0,0,0,NA
"366",0,0,0,0,NA
"367",0,1,0,0,2
"368",1,0,0,0,1
"369",0,0,0,0,NA
"370",0,1,0,0,2
"371",0,0,0,0,NA
"372",0,1,0,0,1
"373",1,0,0,0,1
"374",0,0,0,0,NA
"375",1,0,0,0,2
"376",0,0,0,0,NA
"377",0,0,0,0,NA
"378",0,1,1,0,2
"379",0,0,0,0,NA
"380",0,1,0,1,4
"381",0,0,0,0,NA
"382",0,0,0,0,NA
"383",0,0,0,0,NA
"384",0,0,0,0,NA
"385",0,0,0,0,NA
"386",0,0,0,0,NA
"387",0,0,0,0,NA
"388",0,0,0,0,NA
"389",0,1,0,0,NA
"390",0,0,0,0,NA
"391",0,0,0,0,NA
"392",0,0,0,0,NA
"393",1,0,0,0,1
"394",0,0,0,0,NA
"395",0,0,0,0,NA
"396",0,0,0,0,NA
"397",0,0,0,0,NA
"398",1,0,0,0,1
"399",0,0,0,0,NA
"400",1,1,0,0,1
"401",0,0,0,0,NA
"402",0,1,0,0,2
"403",0,0,0,0,NA
"404",0,0,0,0,NA
"405",1,0,0,0,1
"406",0,0,0,0,NA
"407",0,0,0,0,NA
"408",0,0,0,0,NA
"409",0,1,0,0,2
"410",0,0,0,0,NA
"411",0,0,0,0,NA
"412",0,0,0,0,NA
"413",0,0,0,0,NA
"414",0,0,0,0,NA
"415",0,0,1,0,3
"416",0,1,0,0,2
"417",0,0,0,0,NA
"418",1,0,0,0,1
"419",0,0,0,0,NA
"420",0,0,0,0,NA
"421",0,0,0,0,NA
"422",1,0,0,0,1
"423",0,0,0,0,NA
"424",0,1,0,0,2
"425",0,0,0,0,NA
"426",0,0,0,0,NA
"427",0,1,0,0,2
"428",0,0,0,0,NA
"429",0,1,0,0,2
"430",0,0,0,0,NA
"431",0,0,1,0,NA
"432",0,0,0,0,NA
"433",0,1,0,0,1
"434",0,0,0,0,NA
"435",0,0,0,0,NA
"436",0,0,0,0,NA
"437",0,1,0,0,2
"438",0,0,0,0,NA
"439",0,0,0,0,NA
"440",0,0,0,0,NA
"441",0,0,0,0,NA
"442",0,0,0,0,NA
"443",0,1,0,0,2
