"","language_1","language_2","language_3","language_4","language_5","where_perl_belongs_in_list"
"1","c","","","","",1
"2","bash","javascript","xslt","php","",2
"3","","","","","",1
"4","","","","","",1
"5","","","","","",
"6","Javascript","C","PHP","","",1
"7","","","","","",
"8","Java","Delphi","c","","",6
"9","javascript","bash","python","ruby","php",1
"10","Python","R","","","",1
"11","sql","c#","php","javascript","java",6
"12","javascript","bash shell","","","",1
"13","bash","Makefiles","Python","","",1
"14","c++","C","java","javascript","sql",2
"15","","","","","",
"16","r","praat","python","matlab","",4
"17","","","","","",
"18","bash","","","","",1
"19","bash","c","php","","",1
"20","python","c","javascript","bash","ruby",3
"21","C","Python","java","","",1
"22","","","","","",
"23","","","","","",
"24","C++/C","php","HTML","javascript","Java",1
"25","","","","","",
"26","C++","PHP","Java","","",1
"27","javascript","sql","xslt","java","",1
"28","bash","javascript","","","",1
"29","html","powershell","vbscript","php","fortran",2
"30","PHP","java","","","",1
"31","Java","PHP","Javascript","C","",2
"32","","","","","",1
"33","C","java","C++","","",1
"34","python","php5","php4","c","objective c",5
"35","ruby","objective c","c","bash","",6
"36","javascript","bash","java","php","",1
"37","c","java","csh","bash","erlang",1
"38","C","Shell","PHP","C#","Java",1
"39","javascript","","","","",1
"40","","","","","",
"41","javascript","python","","","",1
"42","PHP","Javascript","Java","C++","python",3
"43","","","","","",
"44","C#","c++","VB.NET","ruby","php",6
"45","Shell","SQL","JavaScript","C","Scheme",1
"46","","","","","",
"47","","","","","",
"48","C","Python","","","",6
"49","php","python","","","",1
"50","python","","","","",1
"51","javascript","bash","python","","",1
"52","java","ruby","perl","bash","",1
"53","Verilog","VHDL","C","","",3
"54","java","Perl","javascript","vba","php",2
"55","c","","","","",1
"56","javascript","","","","",1
"57","","","","","",
"58","shell","c","python","lua","ada",2
"59","php","c++","javascript","","",1
"60","Java","C","Bash","","",2
"61","Javascript","Python","","","",1
"62","c++","php","javascript","c","lua",1
"63","","","","","",
"64","","","","","",
"65","java","C","c++","shell","",2
"66","PHP","Python","c","","",2
"67","Javascript","bash","","","",1
"68","javascript","c++","c","c#","java",1
"69","Java","C","Bash","Python","",1
"70","","","","","",
"71","bash","C","C++","","",1
"72","c","c++","","","",1
"73","php, sql","c#","bash, sed, awk","","",2
"74","Cold Fusion","JavaScript","","","",1
