language,count,percent,mean rank,sd rank
perl,4845,100,2.568627451,1.784558004
c,1389,28.66873065,3.154067675,1.370497479
javascript,1277,26.35706914,2.901331245,1.152062256
java,1181,24.37564499,3.070279424,1.595854483
python,990,20.43343653,3.190909091,1.474734362
php,967,19.95872033,2.84901758,1.352842482
bash,891,18.39009288,3.191919192,1.240778035
c++,878,18.12177503,3.035307517,1.510097321
ruby,450,9.287925697,3.202222222,1.513559925
sql,366,7.554179567,3.008196721,1.21517281
c#,271,5.593395253,2.900369004,1.575636218
shell,134,2.765737874,3.156716418,1.194312824
haskell,104,2.146542828,3.932692308,1.456584801
objective c,78,1.609907121,3.474358974,1.411680025
sh,72,1.486068111,3.208333333,1.352488577
visual basic,69,1.424148607,3.492753623,1.208099972
awk,64,1.320949432,3.984375,1.227879673
r,63,1.300309598,3.111111111,1.345375725
lua,55,1.135190918,4.163636364,1.424177948
scheme,53,1.093911249,3.490566038,1.539513428
erlang,48,0.990712074,3.854166667,1.458497964
xslt,47,0.970072239,3.510638298,1.427560102
fortran,46,0.949432405,4.086956522,1.363428472
matlab,46,0.949432405,3.434782609,1.668694419
ksh,46,0.949432405,3.086956522,1.363428472
lisp,41,0.84623323,4.170731707,1.301968491
html,41,0.84623323,3.682926829,1.149761375
groovy,41,0.84623323,3.390243902,1.262498491
pl sql,41,0.84623323,3,1.396424004
c/c++,40,0.825593395,2.575,1.412172358
common lisp,39,0.80495356,3.538461538,1.774766906
vbscript,38,0.784313725,3.815789474,1.312214204
scala,37,0.763673891,3.621621622,1.459667986
clojure,35,0.722394221,3.685714286,1.430167176
pl/sql,35,0.722394221,3.028571429,1.360919116
delphi,34,0.701754386,3.058823529,1.391340676
lisp scheme,33,0.681114551,3.939393939,1.434821285
tcl,33,0.681114551,3.818181818,1.530002971
csh,32,0.660474716,3.40625,1.316382506
actionscript,32,0.660474716,3.375,1.497309415
assembler,30,0.619195046,4.433333333,1.45467933
bourne shell,30,0.619195046,2.466666667,0.860366134
tcl tk,27,0.557275542,3.703703704,1.137298243
pascal,25,0.515995872,3.96,1.4571662
vba,23,0.474716202,3.043478261,1.186218624
cobol,22,0.454076367,3.272727273,1.638286509
applescript,21,0.433436533,3.761904762,1.338086765
emacs lisp,20,0.412796698,3.9,1.410487038
basic,19,0.392156863,4.052631579,1.614988277
prolog,18,0.371517028,4.666666667,1.414213562
css,18,0.371517028,4.555555556,1.096637761
powershell,18,0.371517028,3.888888889,1.231397527
ocaml,18,0.371517028,3.777777778,1.767535857
objective-c,18,0.371517028,2.277777778,1.178511302
elisp,17,0.350877193,3.882352941,1.363925994
sed,13,0.268317853,4.769230769,0.926808696
smalltalk,13,0.268317853,3.769230769,1.83275049
coldfusion,13,0.268317853,2.615384615,1.386750491
make,12,0.247678019,4.166666667,1.193416283
vb.net,11,0.227038184,3.090909091,1.578261414
vb,10,0.206398349,3.8,1.686548085
zsh,10,0.206398349,3.5,0.849836586
shell script,10,0.206398349,3.1,0.994428926
shell scripting,10,0.206398349,2.7,1.418136492
go,9,0.185758514,4.555555556,1.130388331
tcsh,9,0.185758514,3.888888889,1.536590743
dcl,8,0.165118679,3.875,1.246423455
mathematica,8,0.165118679,3.625,1.767766953
forth,7,0.144478844,4.285714286,0.951189731
latex,7,0.144478844,3.857142857,1.214985793
rexx,7,0.144478844,3.714285714,1.496026483
shell scripts,7,0.144478844,2.857142857,0.690065559
d,6,0.123839009,4.5,1.974841766
ada,6,0.123839009,3.666666667,1.966384161
.net,6,0.123839009,3.666666667,1.751190072
bash scripting,6,0.123839009,3.5,1.048808848
plsql,6,0.123839009,3.333333333,1.505545305
verilog,6,0.123839009,2.833333333,2.136976057
sas,6,0.123839009,2.5,1.516575089
bash shell,6,0.123839009,2,0.894427191
assembly,5,0.103199174,4.6,1.140175425
postscript,5,0.103199174,4.2,0.836660027
shellscript,5,0.103199174,3.4,1.673320053
perl 6,5,0.103199174,3.4,2.408318916
t-sql,5,0.103199174,2.8,2.049390153
transact sql,5,0.103199174,2.8,1.788854382
plpgsql,5,0.103199174,2.6,0.547722558
unix shell,5,0.103199174,2.4,0.547722558
batch,4,0.08255934,4.75,1.892969449
tcl/tk,4,0.08255934,4.5,1.290994449
rpg,4,0.08255934,3.75,1.258305739
octave,4,0.08255934,3.75,0.957427108
xquery,4,0.08255934,3.5,0.577350269
flex,4,0.08255934,3.5,1.914854216
asp,4,0.08255934,3.5,1
windows batch,4,0.08255934,3.25,0.5
vb .net,4,0.08255934,3.25,1.707825128
shell (bash),4,0.08255934,3,0.816496581
autoit,4,0.08255934,3,1.414213562
maple,4,0.08255934,2.75,1.707825128
vhdl,4,0.08255934,2.75,0.957427108
oracle pl/sql,4,0.08255934,2.75,0.957427108
pl/pgsql,4,0.08255934,2.25,0.957427108
jython,4,0.08255934,2.25,0.957427108
shell/bash,4,0.08255934,1.75,0.5
korn shell,4,0.08255934,1.75,0.957427108
abap,4,0.08255934,1.5,1
o'caml,3,0.061919505,4.333333333,2.081665999
xml,3,0.061919505,4.333333333,2.081665999
vb6,3,0.061919505,3.666666667,2.081665999
logo,3,0.061919505,3.666666667,2.516611478
powerbuilder,3,0.061919505,3.666666667,1.527525232
c+,3,0.061919505,3.666666667,0.577350269
perl6,3,0.061919505,3.666666667,2.081665999
tex,3,0.061919505,3.666666667,2.081665999
f#,3,0.061919505,3.333333333,1.527525232
idl,3,0.061919505,3.333333333,1.527525232
ml,3,0.061919505,3.333333333,2.081665999
excel,3,0.061919505,3.333333333,0.577350269
gawk,3,0.061919505,3,1
html/css,3,0.061919505,2.666666667,0.577350269
dos batch,3,0.061919505,2.666666667,1.154700538
x++,3,0.061919505,2.666666667,2.886751346
asp.net,3,0.061919505,2.666666667,2.081665999
ecmascript,3,0.061919505,2.333333333,0.577350269
xsl,3,0.061919505,2.333333333,2.309401077
ruby on rails,3,0.061919505,2.333333333,1.527525232
c# .net,3,0.061919505,2,1
bash shell scripting,3,0.061919505,2,0
visual basic for applications,3,0.061919505,2,1
mysql,3,0.061919505,1.666666667,0.577350269
sh/bash,3,0.061919505,1.666666667,0.577350269
brainfuck,2,0.04127967,5.5,0.707106781
emacs-lisp,2,0.04127967,5,0
dylan,2,0.04127967,5,1.414213562
redcode,2,0.04127967,4.5,0.707106781
j,2,0.04127967,4.5,2.121320344
objc,2,0.04127967,4.5,2.121320344
rebol,2,0.04127967,4,1.414213562
tcl ,2,0.04127967,4,1.414213562
skill,2,0.04127967,4,1.414213562
shells,2,0.04127967,4,0
freebasic,2,0.04127967,4,1.414213562
standard ml,2,0.04127967,4,2.828427125
javascript/html,2,0.04127967,4,0
io,2,0.04127967,4,1.414213562
bourne shell scripting,2,0.04127967,3.5,0.707106781
java script,2,0.04127967,3.5,0.707106781
asm,2,0.04127967,3.5,0.707106781
js,2,0.04127967,3.5,0.707106781
dos batch files,2,0.04127967,3.5,2.121320344
bash script,2,0.04127967,3.5,0.707106781
systemverilog,2,0.04127967,3.5,0.707106781
actionscript 3,2,0.04127967,3.5,0.707106781
peoplecode,2,0.04127967,3.5,2.121320344
vala,2,0.04127967,3,0
lisp ,2,0.04127967,3,0
powerscript,2,0.04127967,3,2.828427125
4gl,2,0.04127967,3,2.828427125
template toolkit,2,0.04127967,3,1.414213562
shell scripting (bash),2,0.04127967,2.5,0.707106781
unix shell script,2,0.04127967,2.5,0.707106781
jquery,2,0.04127967,2.5,0.707106781
pic assembler,2,0.04127967,2.5,0.707106781
ruby (rails),2,0.04127967,2.5,0.707106781
labview,2,0.04127967,2.5,2.121320344
/bin/sh,2,0.04127967,2.5,0.707106781
bash/sh,2,0.04127967,2.5,0.707106781
bash shell script,2,0.04127967,2,0
realbasic,2,0.04127967,2,0
ksh/bash,2,0.04127967,1.5,0.707106781
