"","num_cpan_modules","num_cpan_modules_handed_over"
"1",2,1
"2",1,1
"3",1,1
"4",1,2
"5",NA,NA
"6",1,1
"7",NA,NA
"8",2,1
"9",2,2
"10",1,1
"11",1,1
"12",1,1
"13",1,1
"14",2,2
"15",NA,NA
"16",1,1
"17",1,1
"18",1,1
"19",1,1
"20",1,1
"21",1,1
"22",NA,NA
"23",NA,NA
"24",1,1
"25",NA,NA
"26",1,1
"27",2,1
"28",1,1
"29",1,1
"30",1,3
"31",1,1
"32",1,2
"33",1,1
"34",1,1
"35",1,1
"36",1,1
"37",1,1
"38",1,1
"39",1,1
"40",NA,NA
"41",1,1
"42",1,1
"43",NA,NA
"44",1,1
"45",2,2
"46",NA,NA
"47",NA,NA
"48",1,1
"49",2,1
"50",1,1
"51",1,1
"52",1,1
"53",1,1
"54",1,1
"55",1,1
"56",2,1
"57",NA,NA
"58",1,1
"59",1,1
"60",1,1
"61",3,2
"62",2,1
"63",NA,NA
"64",NA,NA
"65",1,1
"66",1,2
"67",1,1
"68",1,1
"69",2,1
"70",NA,NA
"71",2,1
"72",3,1
"73",1,1
"74",1,1
"75",3,2
"76",1,1
"77",1,1
"78",1,1
"79",1,1
"80",NA,NA
"81",1,1
"82",NA,NA
"83",2,2
"84",1,1
"85",2,1
"86",NA,NA
"87",1,1
"88",1,1
"89",4,1
"90",1,1
"91",3,4
"92",1,1
"93",1,1
"94",1,3
"95",1,1
"96",2,2
"97",2,1
"98",1,1
"99",1,1
"100",4,4
"101",NA,NA
"102",1,1
"103",1,2
"104",1,1
"105",1,1
"106",1,2
"107",1,2
"108",2,1
"109",1,1
"110",NA,NA
"111",1,1
"112",3,1
"113",NA,NA
"114",2,3
"115",1,1
"116",NA,NA
"117",1,1
"118",1,1
"119",1,1
"120",1,1
"121",1,1
"122",NA,NA
"123",1,1
"124",NA,NA
"125",1,1
"126",2,1
"127",NA,NA
"128",1,1
"129",1,1
"130",NA,NA
"131",1,1
"132",NA,NA
"133",1,1
"134",3,1
"135",1,1
"136",1,1
"137",2,1
"138",1,1
"139",1,1
"140",1,1
"141",1,1
"142",NA,NA
"143",1,1
"144",NA,NA
"145",2,1
"146",2,2
"147",NA,NA
"148",1,1
"149",1,1
"150",4,2
"151",1,1
"152",1,1
"153",NA,NA
"154",1,1
"155",1,1
"156",NA,NA
"157",1,1
"158",1,1
"159",1,1
"160",NA,NA
"161",1,1
"162",1,1
"163",1,1
"164",4,3
"165",1,1
"166",2,1
"167",2,1
"168",3,1
"169",1,1
"170",1,1
"171",1,1
"172",3,1
"173",1,1
"174",1,2
"175",NA,NA
"176",NA,NA
"177",NA,NA
"178",1,1
"179",NA,NA
"180",1,1
"181",1,1
"182",NA,NA
"183",1,1
"184",1,1
"185",1,1
"186",1,1
"187",3,1
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",NA,NA
"192",1,1
"193",1,1
"194",1,1
"195",1,1
"196",NA,NA
"197",NA,NA
"198",1,1
"199",1,1
"200",1,1
"201",1,1
"202",1,1
"203",1,2
"204",1,1
"205",2,2
"206",1,1
"207",2,1
"208",1,1
"209",2,2
"210",1,1
"211",1,1
"212",1,1
"213",2,2
"214",NA,NA
"215",NA,NA
"216",2,1
"217",1,1
"218",2,1
"219",NA,NA
"220",NA,NA
"221",NA,NA
"222",1,1
"223",1,1
"224",1,1
"225",1,1
"226",1,1
"227",1,1
"228",1,1
"229",NA,NA
"230",2,1
"231",1,1
"232",1,1
"233",NA,NA
"234",NA,NA
"235",1,1
"236",1,1
"237",1,1
"238",1,1
"239",1,1
"240",NA,NA
"241",1,1
"242",1,1
"243",NA,NA
"244",1,1
"245",1,1
"246",2,1
"247",1,1
"248",1,1
"249",1,1
"250",NA,NA
"251",1,1
"252",NA,NA
"253",1,1
"254",NA,NA
"255",2,1
"256",4,2
"257",2,1
"258",1,1
"259",2,1
"260",3,2
"261",NA,NA
"262",1,1
"263",1,1
"264",2,2
"265",2,1
"266",2,1
"267",1,1
"268",1,1
"269",2,1
"270",4,1
"271",NA,NA
"272",1,1
"273",1,1
"274",2,1
"275",1,1
"276",NA,NA
"277",1,1
"278",1,2
"279",NA,NA
"280",1,1
"281",1,1
"282",1,1
"283",4,4
"284",1,1
"285",NA,NA
"286",NA,NA
"287",1,1
"288",1,1
"289",NA,NA
"290",NA,NA
"291",1,1
"292",1,1
"293",1,1
"294",1,1
"295",NA,NA
"296",1,1
"297",1,1
"298",1,1
"299",1,NA
"300",1,1
"301",1,1
"302",1,1
"303",1,1
"304",4,1
"305",1,1
"306",1,1
"307",1,1
"308",1,1
"309",1,1
"310",1,1
"311",1,1
"312",2,2
"313",NA,NA
"314",1,1
"315",1,NA
"316",1,1
"317",NA,NA
"318",1,1
"319",1,1
"320",1,1
"321",1,1
"322",NA,NA
"323",1,1
"324",1,1
"325",NA,NA
"326",1,1
"327",2,1
"328",4,2
"329",NA,NA
"330",1,1
"331",NA,NA
"332",1,1
"333",1,1
"334",1,1
"335",NA,NA
"336",1,1
"337",2,1
"338",NA,NA
"339",NA,NA
"340",3,3
"341",1,1
"342",NA,NA
"343",2,1
"344",1,1
"345",1,1
"346",1,1
"347",1,1
"348",2,1
"349",NA,NA
"350",NA,NA
"351",NA,NA
"352",1,1
"353",NA,NA
"354",4,3
"355",1,1
"356",NA,NA
"357",1,1
"358",1,1
"359",NA,NA
"360",1,1
"361",1,1
"362",NA,NA
"363",2,1
"364",NA,NA
"365",2,2
"366",NA,NA
"367",1,1
"368",1,1
"369",1,2
"370",1,1
"371",1,1
"372",1,1
"373",1,1
"374",NA,NA
"375",1,1
"376",2,1
"377",NA,NA
"378",1,1
"379",NA,NA
"380",1,1
"381",2,1
"382",1,1
"383",1,1
"384",NA,NA
"385",1,1
"386",1,1
"387",NA,NA
"388",NA,NA
"389",2,1
"390",2,1
"391",NA,NA
"392",NA,NA
"393",1,1
"394",1,1
"395",NA,NA
"396",1,1
"397",1,1
"398",1,1
"399",3,1
"400",1,1
"401",1,1
"402",1,1
"403",NA,NA
"404",1,2
"405",1,3
"406",NA,NA
"407",1,1
"408",NA,NA
"409",1,1
"410",1,1
"411",1,1
"412",3,1
"413",1,1
"414",1,1
"415",1,1
"416",NA,NA
"417",2,1
"418",2,2
"419",NA,NA
"420",2,1
"421",NA,NA
"422",2,2
"423",NA,NA
"424",1,1
"425",2,1
"426",1,1
