"","num_cpan_modules_handed_over","provided_bug_report_for_perl_interpreter","provided_code_to_fix_bug_perl_interpreter","provided_code_to_add_feature_to_perl_interpreter","provided_bug_report_for_CPAN_module","provided_code_to_fix_bug_CPAN_module","provided_code_to_add_feature_to_CPAN_module"
"1",1,2,1,1,2,2,2
"2",1,1,1,1,1,1,1
"3",1,1,1,1,3,1,1
"4",2,1,1,1,3,3,3
"5",NA,NA,NA,NA,NA,NA,NA
"6",1,1,1,1,4,3,2
"7",NA,NA,NA,NA,NA,NA,NA
"8",1,1,1,1,1,1,1
"9",2,2,1,1,4,4,3
"10",1,1,1,1,1,1,1
"11",1,1,1,1,1,1,1
"12",1,2,2,1,3,2,1
"13",1,2,1,1,3,1,1
"14",2,1,1,1,2,1,1
"15",NA,NA,NA,NA,NA,NA,NA
"16",1,1,1,1,1,1,1
"17",1,1,1,1,1,1,1
"18",1,1,1,1,2,2,3
"19",1,1,1,1,1,1,1
"20",1,1,1,1,1,1,1
"21",1,1,1,1,1,1,1
"22",NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA
"24",1,1,1,1,1,1,1
"25",NA,NA,NA,NA,NA,NA,NA
"26",1,1,1,1,1,1,1
"27",1,1,1,1,3,3,1
"28",1,1,1,1,1,3,1
"29",1,1,1,1,1,1,1
"30",3,1,1,1,1,3,1
"31",1,1,1,1,1,1,1
"32",2,1,1,1,3,3,3
"33",1,1,1,1,1,1,1
"34",1,2,1,1,3,2,2
"35",1,1,1,1,3,1,1
"36",1,1,1,1,3,1,1
"37",1,1,1,1,1,1,1
"38",1,2,1,1,1,1,2
"39",1,1,1,1,1,1,1
"40",NA,NA,NA,NA,NA,NA,NA
"41",1,1,1,1,2,2,1
"42",1,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA
"44",1,1,1,1,1,1,1
"45",2,3,1,1,4,3,3
"46",NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA
"48",1,NA,NA,NA,NA,NA,NA
"49",1,1,1,1,1,1,1
"50",1,1,1,1,1,1,1
"51",1,1,1,1,1,1,1
"52",1,1,1,1,2,2,1
"53",1,1,1,1,1,1,1
"54",1,1,1,1,1,1,1
"55",1,1,1,1,2,2,2
"56",1,1,1,1,1,1,1
"57",NA,NA,NA,NA,NA,NA,NA
"58",1,3,2,1,4,2,1
"59",1,1,1,1,1,1,1
"60",1,1,1,1,1,1,1
"61",2,3,3,1,3,3,3
"62",1,1,1,1,2,2,3
"63",NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA
"65",1,1,1,1,1,1,1
"66",2,1,1,1,2,1,1
"67",1,1,1,1,3,3,3
"68",1,1,1,NA,1,1,1
"69",1,1,1,1,1,1,1
"70",NA,NA,NA,NA,NA,NA,NA
"71",1,1,1,1,3,2,1
"72",1,2,2,1,3,1,1
"73",1,1,1,1,2,1,1
"74",1,1,1,1,1,1,1
"75",2,2,2,2,3,3,3
"76",1,1,1,1,1,1,1
"77",1,1,1,1,1,1,1
"78",1,1,1,1,1,1,1
"79",1,1,1,1,1,1,1
"80",NA,NA,NA,NA,NA,NA,NA
"81",1,1,1,1,2,1,1
"82",NA,NA,NA,NA,NA,NA,NA
"83",2,1,1,1,3,2,3
"84",1,3,1,1,3,3,3
"85",1,1,1,1,3,3,3
"86",NA,NA,NA,NA,NA,NA,NA
"87",1,1,1,1,1,1,1
"88",1,1,1,1,3,2,1
"89",1,1,1,1,1,1,1
"90",1,2,1,1,3,3,2
"91",4,4,4,4,4,4,4
"92",1,1,1,1,3,3,3
"93",1,1,1,1,1,1,1
"94",3,3,1,1,4,4,4
"95",1,1,1,1,1,1,1
"96",2,1,1,1,3,3,3
"97",1,1,1,1,3,1,1
"98",1,1,1,1,3,3,2
"99",1,1,1,1,1,1,1
"100",4,1,1,1,1,1,1
"101",NA,NA,NA,NA,NA,NA,NA
"102",1,1,1,1,1,1,1
"103",2,1,1,1,3,3,3
"104",1,1,1,1,3,2,1
"105",1,1,1,1,3,1,1
"106",2,1,1,1,3,3,1
"107",2,1,1,1,3,3,3
"108",1,1,1,1,3,3,3
"109",1,1,1,1,1,1,1
"110",NA,2,NA,NA,3,NA,NA
"111",1,1,1,1,1,1,1
"112",1,2,1,2,3,3,3
"113",NA,NA,NA,NA,NA,NA,NA
"114",3,1,1,1,3,2,3
"115",1,1,1,1,2,2,1
"116",NA,NA,NA,NA,NA,NA,NA
"117",1,1,1,1,2,1,1
"118",1,1,1,1,1,1,1
"119",1,1,1,1,1,1,1
"120",1,1,1,1,1,1,1
"121",1,1,1,1,3,2,1
"122",NA,NA,NA,NA,NA,NA,NA
"123",1,1,1,1,1,1,1
"124",NA,NA,NA,NA,NA,NA,NA
"125",1,3,2,2,1,1,1
"126",1,1,1,1,3,3,3
"127",NA,NA,NA,NA,NA,NA,NA
"128",1,1,1,1,3,2,1
"129",1,1,1,1,1,1,1
"130",NA,NA,NA,NA,NA,NA,NA
"131",1,1,1,1,1,1,1
"132",NA,NA,NA,NA,NA,NA,NA
"133",1,1,1,1,1,1,1
"134",1,3,3,1,3,4,4
"135",1,1,1,1,1,1,1
"136",1,NA,NA,NA,NA,NA,NA
"137",1,1,1,1,3,3,3
"138",1,1,1,1,1,1,1
"139",1,1,1,1,1,1,1
"140",1,1,1,1,3,3,1
"141",1,1,1,1,1,1,1
"142",NA,NA,NA,NA,NA,NA,NA
"143",1,1,1,1,1,1,1
"144",NA,NA,NA,NA,NA,NA,NA
"145",1,1,1,1,3,3,3
"146",2,1,1,1,3,3,3
"147",NA,NA,NA,NA,NA,NA,NA
"148",1,1,1,1,2,2,1
"149",1,1,1,1,1,1,1
"150",2,3,1,1,4,4,4
"151",1,1,1,1,1,1,1
