"","perl_cutting_edge_programming_language","perl_encouraged_at_workplace","perl_good_language_for_startup","perl_easy_to_maintain","perl_code_scales_well","management_encourages_perl_for_new_projects","management_views_perl_as_cutting_edge","management_views_perl_as_easy_to_maintain","management_thinks_perl_scales_well","perl_good_first_programming_language","perl_good_tool_for_beginners","perl_good_tool_early_career_programmers","perl_good_tool_experienced_programmers","perl_good_tool_system_administrators","perl_good_tool_network_engineers","perl_good_tool_embedded_systems_programmers","perl_good_tool_applications_programmers"
"1",6,6,7,6,6,5,3,3,5,7,7,6,7,7,7,4,6
"2",4,3,5,3,3,3,3,4,1,5,5,5,5,7,7,7,3
"3",5,6,6,7,6,5,5,5,5,7,7,7,7,7,1,1,6
"4",7,7,7,6,6,6,6,6,6,4,NA,7,NA,7,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",5,6,5,6,6,6,1,1,1,3,3,4,7,6,1,5,4
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",3,5,3,6,4,4,2,2,2,3,3,3,6,6,6,5,3
"9",6,7,7,6,6,7,7,6,7,6,7,7,7,7,7,5,6
"10",6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"11",1,3,3,3,1,3,3,3,3,3,3,3,5,6,5,1,3
"12",6,7,6,5,6,6,4,5,5,6,6,6,6,6,6,1,1
"13",5,7,6,5,4,6,5,5,4,6,6,5,7,7,NA,NA,6
"14",7,7,7,7,7,5,1,1,1,5,4,5,7,7,7,7,7
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",3,5,1,1,4,4,4,1,1,5,5,6,6,6,1,1,1
"17",6,7,5,6,7,7,7,7,7,5,5,6,7,7,7,6,5
"18",3,6,1,1,1,1,3,1,1,1,1,1,7,7,5,1,1
"19",3,1,6,6,4,1,1,1,1,3,6,6,6,7,7,4,6
"20",2,7,3,3,3,7,1,1,1,2,2,3,4,3,3,2,3
"21",3,4,5,4,5,3,2,5,3,2,2,4,7,7,5,6,4
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",5,6,6,4,4,6,5,4,4,6,6,7,6,7,7,3,3
"27",6,7,6,6,6,5,1,4,4,5,6,6,6,6,6,6,6
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",5,5,5,6,6,1,1,1,1,5,5,5,5,5,5,5,5
"30",6,7,7,6,5,7,6,6,5,6,5,7,7,7,7,1,7
"31",7,5,6,5,6,5,5,5,6,5,5,5,5,6,6,4,6
"32",3,5,6,4,4,4,1,1,1,3,5,6,7,7,7,1,4
"33",5,6,6,6,6,5,4,3,4,4,5,6,6,6,6,1,6
"34",4,6,3,3,4,4,3,3,3,2,2,5,4,7,6,4,4
"35",3,1,3,4,6,1,1,1,1,6,4,3,6,6,6,3,3
"36",4,7,7,6,6,7,1,1,1,7,7,7,7,7,5,4,5
"37",5,5,3,5,5,3,2,5,3,3,6,6,6,7,7,2,3
"38",6,2,6,6,7,3,2,2,2,5,5,6,6,7,7,5,6
"39",6,7,6,4,6,7,6,5,6,3,4,7,7,7,7,1,7
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",7,6,5,5,6,4,3,3,3,7,6,6,7,7,7,1,7
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",4,2,2,5,5,2,2,2,2,2,2,2,7,6,6,4,3
"45",5,6,6,5,6,6,5,5,5,4,4,5,7,6,5,4,5
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",5,5,6,6,5,5,5,5,5,7,7,7,6,5,5,5,4
"51",6,7,6,4,4,7,7,7,7,2,2,6,6,6,4,4,4
"52",5,2,5,5,7,2,2,2,2,3,7,7,7,7,7,7,7
"53",6,5,6,5,1,4,4,4,1,3,3,4,6,6,1,5,5
"54",5,1,6,5,3,3,3,3,3,6,5,5,6,7,7,3,4
"55",6,7,7,6,6,6,4,4,5,5,6,6,7,7,7,5,5
"56",5,7,6,4,1,7,1,1,1,4,5,6,6,7,1,1,1
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",6,7,7,7,7,7,7,7,7,6,6,5,7,7,7,5,7
"59",4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"60",6,1,3,5,1,1,1,1,1,3,3,5,5,7,7,6,6
"61",6,5,1,6,6,4,4,5,5,4,5,6,6,6,6,1,6
"62",6,3,4,5,7,2,4,4,4,4,3,5,6,6,5,3,4
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",4,4,3,3,3,3,3,3,3,2,2,NA,5,5,5,4,5
"66",4,7,4,2,5,6,5,5,5,1,3,4,6,7,7,4,3
"67",7,7,7,6,7,6,5,NA,5,5,6,6,7,7,7,4,7
"68",3,6,5,4,2,7,6,5,6,6,6,6,6,6,6,2,2
"69",3,5,2,2,1,4,2,2,1,2,2,2,7,7,1,1,2
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",6,7,1,6,6,1,1,1,1,3,3,5,7,7,5,1,4
"72",7,1,5,6,6,1,1,1,1,4,6,7,7,7,6,4,7
"73",4,1,1,5,6,3,4,1,1,4,5,6,7,7,5,1,3
"74",5,4,6,6,6,6,4,1,1,6,6,6,NA,6,6,6,6
"75",6,5,7,7,7,1,1,1,1,7,7,7,7,7,5,2,7
"76",3,3,2,5,4,2,2,2,2,2,2,2,5,5,5,5,5
"77",5,5,7,7,7,5,3,3,3,7,7,7,7,7,7,7,7
"78",4,4,3,3,3,4,3,2,3,5,6,6,6,7,7,5,4
"79",5,1,2,2,2,1,1,1,1,5,7,7,7,7,7,6,7
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",7,7,7,7,7,7,7,7,7,2,2,5,7,7,7,4,7
"84",5,6,5,4,5,1,1,1,1,3,3,4,6,5,5,1,4
"85",5,7,7,5,7,7,7,5,6,4,3,4,7,7,7,5,6
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
