"","perl_best_thing","perl_frustrates_most","describe_perl"
"1","You get your job done with Perl","Perl 6 is still not released","flexible, adaptable"
"2","the regular expression processing","that the community values large balls and shortcuts over readable, maintainable, scalable code","powerful, easily abused, regular expressions"
"3","","",""
"4","that it interfaces to about any database on record ....","sometimes type checking would be helpful","swiss army knife for twiddling textual information"
"5","","",""
"6","The speed by which I can translate thought to code.","Inconsistencies in arrays vs arrayrefs (and less frequently hashes) and varying 'standard' practice in different CPAN modules.[CR]Related to that, casting between the two ... [map {} (0 .. @{blah->function()}-1)]","Does what you mean"
"7","","",""
"8","","",""
"9","Flexibility","other communities understanding","flexible fluid useful active everywhere"
"10","Flexible, free, easy","Debug","Flexible programming language for all purpose"
"11","easier to do complex stuff than pure shell scripts","need to install modules to do stuff that is pretty common in most languages.  these modules can't just be installed straight on to a production box, which is frustrating","weird different non-intuitive powerful funny"
"12","","",""
"13","it exists.","Scales badly in object oriented database apps (ORM) with millions of datasets.","powerful flexible concise sophisticated"
"14","CPAN","nothing","easy powerful beautiful"
"15","","",""
"16","Portability, wide user base, well-established practice","",""
"17","Flexibility, the way that Perl acts in a similar way to a traditional language when being interpreted.","See above ;)","Scaleable and flexible progressive language"
"18","Perl 5 is stable, everywhere, fast, flexible","",""
"19","Perl is different.","Perl is different.","complete"
"20","Not having to use it all the time. CPAN is not too bad either.","Utter lack of both backwards compatibility and progress because the two camps keep fighting and both occasionally win a fight, guaranteeing little progress and lots of brerakage.","Obsolete, undermaintained, bug-ridden"
"21","that it's usually possible to do anything with it, it gives you all the rope you could ever want, which is great in good hands, not so great otherwise.","that most people aren't willing/capable to write readable code","it gives you all the rope you could ever want"
"22","","",""
"23","","",""
"24","","",""
"25","","",""
"26","That it is preinstalled on most Linux hosts.","Manually installing missing CPAN modules.","powerful, easy to learn, too unrestrictive"
"27","CPAN makes a perl programmer quite productive.  Community is a plus for perl.","Wish there were more jobs available coding perl.","powerful, elegant, fast, expressive, fun"
"28","","",""
"29","","",""
"30","There is more than one way to do it","No new in Moose","perl is the best way between C, Java and PHP"
"31","TMTODI","","Larry, Lazy, Free, CPAN, Powerful"
"32","Data parsing and processing","The lack of modernization and marketing as a viable language given the rise of Java, Python, Ruby, etc.","Short, fast and sweet!"
"33","ability to code quickly.  Wide assortment of built-in functions (regular expressions in particular).  CPAN modules, if chosen wisely, can be a boon.","seemingly endless evolution of Perl 6.  Lack of awareness in the wider software community.  I.e., Perl is dismissed as ""just a scripting language.""","widely adaptable"
"34","it's still there and maintained.","Code from other people tends to be unreadable. To many possibilities to write ""the same"" code.","Pathologically Eclectic Rubbish Lister."
"35","CPAN","Most code tends to look like ugly spaghetti","quirky but effective"
"36","Ease of programming","Klunky built-in OO support","quick, light, easy"
"37","swissknifelike language","not being a strong type","fast short easy straightway diveristy"
"38","regexp, less typing, dwim, map/grep & closure for functional programming","list context/assignment, (past-time) flip-flop operator","powerful, expressive, easy, geeky, lovable"
"39","CPAN, community, powerful and mostly well-designed language","Uncertainty about future, i.e. Perl 6 - while very powerful I have doubts that very many Perl 5 users will want to rewrite their applications (when and if it is ready for production use)","powerful"
"40","","",""
