"","CPAN_1","CPAN_2","CPAN_3","CPAN_4","CPAN_5"
"1","XML::Parser","File::Slurp","","",""
"2","","","","",""
"3","CGI","DBI","MIME","",""
"4","DBI","SQL::Abstract","CGI","",""
"5","","","","",""
"6","Text::CSV","DBI","DateTime","Moose","Geo::Ellipsoid"
"7","","","","",""
"8","Net::SNMP","CGI","JSON","",""
"9","DBI","Business::OnlinePayment","Template::Alloy","JSON","XML::Simple"
"10","CGI","CGI::Application","GO::TermFinder","Storable",""
"11","","","","",""
"12","DBI","Test::More","Test::WWW::Mechanize","",""
"13","DBI","DBD::Pg","Date::Calc","",""
"14","Catalyst","DBIx::Class","Template","App::Rad","core"
"15","","","","",""
"16","","","","",""
"17","Catalyst","DBIx::Class","Moose","Web::Simple","Template Toolkit"
"18","","","","",""
"19","POSIX","Tie::Syslog","Proc::PidUtil","threads::shared","Sendmail::Milter"
"20","Class::DBI","SQL::Abstract","HTML::Template","HTML::Mason","RPC::XML"
"21","CPAN","Data::Dumper","XML::Parser","Time::HiRes","Crypt::SSLeay"
"22","","","","",""
"23","","","","",""
"24","","","","",""
"25","","","","",""
"26","DBI","","","",""
"27","CGI::Application","XML::Twig","XML::LibXML","File::Find","File::Spec"
"28","","","","",""
"29","","","","",""
"30","Moose","Catalyst","IO::All","YAML::XS","Text::CSV_XS"
"31","DBIx::Class","SQL::Abstract","Catalyst","Data::Dumper","Regex::Common"
"32","strict","CGI","DBD","DBI","Crypt"
"33","DBI","Carp","Log::*","Module::Starter","Readonly"
"34","","","","",""
"35","","","","",""
"36","mod_perl","","","",""
"37","Data::Dumper","XML::Simple","DBI","Net::Inet","Config::Auto"
"38","DBI","LWP::Simple","Regexp::Common","Net::RawIP","Acme::EyeDrops"
"39","DBI","Template","Apache::Registry","SOAP::Lite","DateTime"
"40","","","","",""
"41","CGI","DBI","Log4Perl","Carp","Data::Dumper"
"42","","","","",""
"43","","","","",""
"44","","","","",""
"45","Moose","DBIx::Class","Catalyst","XML::Pastor","POE"
"46","","","","",""
"47","","","","",""
"48","","","","",""
"49","","","","",""
"50","Math::MatrixReal","MIME::Lite","Pod::Simple","MIME::Type","Email::Date::Format"
"51","XML::LibXML","Class::DBI::mysql","Template","Net::IMAP::Simple","SOAP::Lite"
"52","HTTP::Client","LWP::Simple","Net::Server","WebService::Linode",""
"53","Test::More","Net::SSH::Expect","Carp","warnings",""
"54","I don't use any CPAN packages.","","","",""
"55","","","","",""
"56","DBI","DBD::mysql","DBD::Informix","CGI::Session","Date::Calc"
"57","","","","",""
"58","POE","Business::OnlinePayment","POE::Component::Daemon","Moose","Mouse"
"59","DBI","Mail::Sender","IO::Socket","net::ftp",""
"60","Data::Dumper","","","",""
"61","DBI","WWW::Mechanize::Firefox","Querylet","CGI","LWP"
"62","AnyEvent","DBIx::Class","Locale::Maketext","FCGI::Engine","Data::Dumper"
"63","","","","",""
"64","","","","",""
"65","","","","",""
"66","DBI","Template","","",""
"67","Catalyst","Moose","Rose::DB::Object","",""
"68","Data::Dumper","JSON","CGI","DBD::Pg","XML::LibXML"
"69","CPAN","Net::Server","XML::Twig","Net::LDAP","MIME::Lite"
"70","","","","",""
"71","Carp","Exporter","Data::Dumper","Template","Getopt::Long"
"72","Module::Build","Test-Exception ","Readonly","DBI","YAML"
"73","LWP::UserAgent","bigint","XML::Simple","",""
"74","CGI","DBI","Net::LDAP","Net::SMTP",""
"75","Catalyst","Moose","DBIx::Class","Template","DBI"
"76","","","","",""
"77","","","","",""
"78","CGI::Application","HTML::Template","GD::Graph","Bio::SeqIO","Bio::SearchIO"
"79","","","","",""
"80","","","","",""
"81","","","","",""
"82","","","","",""
"83","Moose","Graph","Coro","",""
"84","LWP","XML::LibXML","XML::LibXSLT","DBD::mysql","DateTime"
"85","Catalyst::Runtime","DBIx::Class","Moose","RPC::Serialized","Net::DRI"
"86","","","","",""
"87","DBI","DBIx::DBSchema","TT","XML::Twig","Catalyst"
"88","Catalyst","DBIx::Class","KinoSearch","Business::PayPal::API",""
"89","DBI","SOAP::Lite","List::Util","XML::Simple","Data::Dumper"
"90","Catalyst","Moose","MogileFS::Server","Test::More","DBIx::Class"
"91","Template","Plack","LWP","Time::Piece","Class::DBI"
"92","DBI","SOAP::Lite","News::NNTPClient","Time::HiRes","XML"
"93","","","","",""
"94","Moose","Adv. string manipulation modules, dep. on the task","POE","",""
"95","Math::BigFloat","Data::Dumper","","",""
"96","DBI","DBIx::Class","Catalyst","Moose","Socket"
"97","Spreadsheet::ParseExcel","Image::Magick","PDF::API2","File::Find",""
"98","DBD::mysql","DBD::Pg","HTML::Template","Text::CSV",""
"99","XML::Simple","XML::SAX","XML::Namespace","",""
"100","","","","",""
"101","","","","",""
"102","","","","",""
"103","HTML::Mason","DBIx::Class","Moose","mod_perl","Spreadsheet::BasicRead"
"104","","","","",""
"105","dbix::class","moose","moosex::declare","ack","catalyst"
"106","CGI","DBI","DBD::Oracle","Net::FTP","JSON"
"107","","","","",""
"108","DBI","Class::DBI","Log::Log4perl","Module::Pluggable",""
"109","DBI","LWP","IO","",""
"110","","","","",""
"111","DBI","MIME::Lite","PAR","Spreadsheet::WriteExcel","Win32::GUI"
"112","DBI","MIME::Entity","HTML::Mason","Jifty","CPAN"
"113","","","","",""
"114","Catalyst","DBIx::Class","HTML::FormFu","Imager","Path::Class"
"115","Getopt::Long","HTTP::Daemon","HTTP::Request","HTTP::Response","Class::MethodMaker"
"116","","","","",""
"117","Moose","LWP","WWW::Mechanize","",""
"118","lwp","xml","DB","",""
"119","Template","DBD::Oracle","CGI","Data::Dumper","Class::Std"
"120","XML::LibXML","Spreadsheet::ParseExcel","DateTime","CGI","LWP"
"121","Win32::OLE","DBI","XML::Parser","File::Find",""
"122","","","","",""
"123","DBI","NetAddr::IP","Geo::IP","",""
"124","","","","",""
"125","CGI::pm","VMS::IndexedFile","VMS::Logicals","VMS::DCLsym",""
"126","DBI","LWP","CGI::Application","Apache","CGI::FormBuilder"
"127","","","","",""
"128","Moose","DBI","DBD::mysql","Devel::NYTProf","Net::*"
"129","","","","",""
"130","","","","",""
"131","","","","",""
"132","","","","",""
"133","CGI.pm","DBI.pm","NET::SSH:Perl","",""
"134","LWP::UserAgent","SOAP::Lite","","",""
