"","install_CPAN_always_test_run","freq_force_install_CPAN_mods_after_test_fail","try_to_understand_why_tests_fail_before_force_install","report_test_fails_thru_approp_channels"
"1",7,3,6,6
"2",5,4,4,2
"3",6,2,1,3
"4",7,5,6,6
"5",NA,NA,NA,NA
"6",6,3,6,5
"7",NA,NA,NA,NA
"8",6,4,6,2
"9",6,4,7,6
"10",4,4,4,4
"11",1,1,1,1
"12",6,3,6,6
"13",6,3,6,3
"14",7,1,7,7
"15",NA,NA,NA,NA
"16",1,1,1,1
"17",1,1,1,1
"18",NA,NA,NA,NA
"19",7,3,7,3
"20",6,3,1,1
"21",7,3,6,3
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",1,1,1,1
"27",5,3,6,5
"28",NA,NA,NA,NA
"29",1,1,1,1
"30",7,2,7,5
"31",7,2,7,4
"32",7,3,7,5
"33",4,6,6,4
"34",6,5,6,5
"35",6,5,7,3
"36",5,1,6,3
"37",6,4,6,6
"38",6,3,7,6
"39",4,4,5,3
"40",NA,NA,NA,NA
"41",7,3,6,6
"42",NA,NA,NA,NA
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",7,3,7,6
"46",NA,NA,NA,NA
"47",NA,NA,NA,NA
"48",NA,NA,NA,NA
"49",NA,NA,NA,NA
"50",7,5,6,4
"51",5,2,6,5
"52",6,6,3,2
"53",7,2,1,1
"54",1,1,6,6
"55",7,2,7,6
"56",7,3,7,4
"57",NA,NA,NA,NA
"58",6,6,7,5
"59",7,6,4,4
"60",2,2,6,1
"61",6,6,7,6
"62",6,4,6,6
"63",NA,NA,NA,NA
"64",NA,NA,NA,NA
"65",4,3,7,5
"66",6,5,5,4
"67",6,4,6,6
"68",5,2,5,NA
"69",6,4,7,3
"70",NA,NA,NA,NA
"71",3,2,6,6
"72",7,3,6,6
"73",6,4,5,5
"74",1,1,1,1
"75",6,5,6,4
"76",NA,NA,NA,NA
"77",1,1,1,1
"78",4,6,5,3
"79",2,1,1,1
"80",NA,NA,NA,NA
"81",NA,NA,NA,NA
"82",NA,NA,NA,NA
"83",7,3,6,3
"84",6,2,7,5
"85",7,2,7,7
"86",NA,NA,NA,NA
"87",6,5,6,4
"88",6,6,5,3
"89",7,5,6,5
"90",7,2,7,7
"91",5,6,6,5
"92",6,6,5,4
"93",NA,NA,NA,NA
"94",6,6,6,4
"95",6,3,3,3
"96",7,3,6,6
"97",6,5,6,4
"98",5,3,5,3
"99",7,2,7,6
"100",2,7,2,2
"101",NA,NA,NA,NA
"102",NA,NA,NA,NA
"103",6,3,6,4
"104",NA,NA,NA,NA
"105",6,3,6,3
"106",6,5,7,3
"107",1,1,1,1
"108",7,3,7,6
"109",7,1,1,1
"110",6,5,6,5
"111",3,6,6,3
"112",7,5,7,4
"113",NA,NA,NA,NA
"114",6,3,6,4
"115",6,2,NA,2
"116",NA,NA,NA,NA
"117",4,6,3,4
"118",7,2,7,2
"119",6,6,6,3
"120",5,5,2,2
"121",5,6,4,3
"122",NA,NA,NA,NA
"123",1,1,1,1
"124",NA,NA,NA,NA
"125",7,3,3,6
"126",7,3,6,1
"127",NA,NA,NA,NA
"128",7,2,6,3
"129",NA,NA,NA,NA
"130",NA,NA,NA,NA
"131",NA,NA,NA,NA
"132",NA,NA,NA,NA
"133",7,2,7,1
"134",7,2,7,6
"135",5,6,6,1
"136",NA,NA,NA,NA
