"","running_perl_program_across_mult_platforms_easy","cross_platform_perl_programming_comments"
"1",6,"Quite often, cross platform programming works very well in Perl"
"2",3,"it can be done well or poorly, like any kind of programming."
"3",5,""
"4",5,""
"5",NA,""
"6",3,""
"7",NA,""
"8",4,""
"9",6,""
"10",4,"it is OK"
"11",1,""
"12",1,""
"13",1,""
"14",6,""
"15",NA,""
"16",1,""
"17",1,""
"18",NA,""
"19",4,""
"20",3,""
"21",5,"it's a hassle making sure every module is installed everywhere, besides that it's quite easy as long as things are developed properly (say without assuming / vs \ etc.)"
"22",NA,""
"23",NA,""
"24",NA,""
"25",NA,""
"26",1,""
"27",5,""
"28",NA,""
"29",1,""
"30",6,"I use mostly linux so I'm not expert in cross-platform"
"31",5,""
"32",3,"What happened to Parrot?"
"33",5,""
"34",6,""
"35",3,""
"36",6,""
"37",6,""
"38",7,"it's one of the best one I forgot to fill the former form in."
"39",1,""
"40",NA,""
"41",5,"Once the dependencies are sorted, it's usually fine."
"42",NA,""
"43",NA,""
"44",NA,""
"45",5,""
"46",NA,""
"47",NA,""
"48",NA,""
"49",NA,""
"50",5,""
"51",3,""
"52",6,""
"53",6,""
"54",4,""
"55",7,""
"56",5,""
"57",NA,""
"58",6,"I only force install if there is no other option. Also, I do go and look to see what has been reported. If the test fails due to a innocuous bug, like a testing only bug or one that doesn't affect us as we don't use that particular feature. Then I will install it."
"59",6,""
"60",6,""
"61",6,"Cross-platform problems only happen to people who were raised on Unix and never learned about non-unixish operating systems"
"62",5,""
"63",NA,""
"64",NA,""
"65",6,""
"66",7,""
"67",NA,""
"68",5,"Mac/Linux/Solaris works mostly. I don't know Windows."
"69",1,"Tried it once with wxPerl which was PITA to install, so I sticked to Linux"
"70",NA,""
"71",1,""
"72",4,"It's not easy, but it's not easier in other languages. It requires dedication and vigilance."
"73",6,"I've not been in a position to leverage OS specific features, so portability has generally been very good."
"74",5,""
"75",6,""
"76",NA,""
"77",1,""
"78",1,""
"79",1,""
"80",NA,""
"81",NA,""
"82",NA,""
"83",6,""
"84",6,""
"85",5,""
"86",NA,""
"87",4,""
"88",6,""
"89",5,""
"90",6,"cpanminus rocks."
"91",4,""
"92",5,""
"93",NA,""
"94",6,"Binaries are the devil's work.. well or not. At least they can be pretty hindering in the case of writing Perl scripts for Unix AND Windows at the same time. Version hell ;-)"
"95",2,"I have tried to install perl CPAN module on windows. It supposed to be simple."
"96",5,""
"97",3,"make fŸr OSX is in the huge Xcode-tools package. It would be perfect to offer something linke strawberry for mac.[CR]It would be cool to have a simple standalone perl installation for any plattform. (o.k., I can use virtual machines to test ""local"" installs of scripts and modules.)"
"98",6,""
"99",7,"very good in cross platform for UNIX flavors"
"100",2,""
"101",NA,""
"102",NA,""
"103",NA,"no experience"
"104",NA,""
"105",2,""
"106",5,""
"107",1,""
"108",6,""
"109",7,"Stick to basics"
"110",5,""
"111",6,""
"112",3,"works just fine as long as we don't touch windows, but even then it's possible to fix things without much pain."
"113",NA,""
"114",6,""
"115",6,""
"116",NA,""
"117",6,""
"118",5,""
"119",5,""
"120",1,""
"121",4,""
"122",NA,""
"123",1,""
"124",NA,""
"125",3,""
"126",3,"It's not at easy as it sounds.  Output on one platform using \n is incompatible with output from another platform using \n (since the meaning of \n changes depending on platform).  ActiveState ppm repositories aren't as good as native cpan client with compiler, which is hard to get running on windows."
"127",NA,""
"128",6,"The most difficult aspect is installing CPAN modules required for your program to work. To install CPAN modules on a ""fresh"" system that does not have internet access (typical for secured company servers ) can be quite a task."
"129",NA,""
"130",NA,""
"131",NA,""
"132",NA,""
"133",1,""
"134",6,"I would have said ""strongly agree"" on the ""it's easy"" question were it not for Windows, whose differences no amount of work by Perl can disguise.[CR][CR]General comment: Some of the answers will make more sense if you understand that I am a retired programmer who is keeping his hand in and scratching the creativity itch by writing the programs _I_ want to write.[CR][CR]General meta-comment: This survey needs a ""general comments"" box."
"135",4,"Not all modules work the same nor are available."
"136",NA,""
"137",5,"I stick to POSIX systems mostly, so I don't have that much experience"
"138",5,""
"139",NA,""
"140",4,"Doesn't feel native on the Windows platform. Too many modules require cygwin or specific non native libraries."
"141",2,""
"142",NA,""
"143",6,""
"144",NA,""
"145",6,"Cross-platform processes and threading are difficult.  In general Perl's approach of portability where possible. allowing raw access to the system and detecting differences where necessary is a good approach."
"146",6,""
"147",NA,""
"148",7,"actual version for different platforms are different. "
"149",5,""
"150",5,""
"151",5,""
"152",4,"Ensuring CPAN dependencies can be a nightmare and installing them can take up huge chunks of time, especially when they fail at autoinstalling dependencies and you have to manually work through the dependency chain. "
"153",NA,""
"154",6,""
"155",5,"Danga doesn't work on Win32... UNIX is still king. Windows is improving... but is still coach class."
"156",NA,""
"157",6,""
"158",1,"I just try to avoid using a bad platform for the job in the first place.  It just so happens that my reasons to use perl coincide with my reasons to use linux."
"159",1,"There should be special highlighting in perldocs that indicates fully cross-platform keywords and modules, much the same as is done in some books with blue highlighting to indicate cross-platform keywords in various languages.[CR][CR]There should also be a list of fully cross-platform keywords and modules provided in the perldocs."
"160",NA,""
"161",5,""
"162",4,""
"163",5,"The biggest problem for cross platform Perl has been being able to get a consistent install - especially of CPAN modules. In addition for an application, it seems like a lot of trouble to get a working install to a user's machine that the application can use (at least on Windows)"
"164",5,""
"165",5,""
"166",3,"wxWidgets doesn't seem to work very well on Mac"
"167",6,""
"168",3,""
"169",7,"I don't know about Windoze [Although I've ""heard"" of Strawberry Perl] but ""/usr/local/bin/perl"" on Mac OS X Leopard usually works the same as Linux (5.8.8 is unacceptable, Apple; I need given/when!)"
"170",5,"Cygwin is your friend. I get by with a little help from my friends."
