"","official_perl_cert_for_me","official_perl_cert_for_others","perl_cert_comments"
"1",5,6,""
"2",4,6,"if it taught Conway-style best practices, all the better to get those best practices disseminated in the community of programmers."
"3",5,5,""
"4",NA,NA,""
"5",NA,NA,""
"6",2,3,"Certifications seem like a nice way to identify the idiots.[CR]I have never worked for an employer that cares about certificates, I have never liked the idea of working for an employer that views certificates as important.[CR]In my experience someone certified in X can regurgitate the textbook on X but can't use X in any way not specified by the textbook, or tie their own shoes."
"7",NA,NA,""
"8",4,3,""
"9",3,4,"Never been a fan of language certs, but especially not in in Perl's nature"
"10",3,4,"It is good for Java or .NET, but I don't think it is a good idea for perl"
"11",3,3,"IMO Perl doesn't have a particular use/niche at the moment. A certification is only useful if people have a need for the skills, and I don't think most employers would know what Perl is. I think Perl is great and powerful, but needs more promotion before people start to recognise it and want to use it. Then, but only then, would a certification provide any benefit to the holder.  My 2cents worth."
"12",3,1,""
"13",2,3,""
"14",7,7,""
"15",NA,NA,""
"16",3,1,""
"17",3,4,"Not sure of the value of any certification outside of HR departments. Any person working in IT knows qualifications are a start point not a sign of ability, some are actually seen as debilitating."
"18",1,1,""
"19",2,5,""
"20",3,6,""
"21",2,2,"perl has been established for a long time: certs are more useful for the latest buzzword-du-jour language IMHO."
"22",NA,NA,""
"23",NA,NA,""
"24",NA,NA,""
"25",NA,NA,""
"26",6,6,"Please do not come up with a certification for every Perl version, like other certifications do. A certificate should be long lasting."
"27",5,5,"If employers are more willing to hire based on certification then it's useful."
"28",NA,NA,""
"29",1,1,""
"30",1,5,"No, i'm not familiar with certifications"
"31",3,3,"I think we do not need to make Official Perl certification "
"32",2,6,""
"33",2,2,"bad idea."
"34",3,4,""
"35",2,3,""
"36",5,5,""
"37",1,1,"Maybe it eases the work of someone who wants to hire some perl programmers."
"38",6,5,"good idea, I hope i can get one"
"39",2,3,""
"40",NA,NA,""
"41",5,5,"*shrugs*[CR]i think it'd help management understand that it's important, but i don't know that it would change anything."
"42",NA,NA,""
"43",NA,NA,""
"44",1,1,""
"45",4,5,""
"46",NA,NA,""
"47",NA,NA,""
"48",NA,NA,""
"49",NA,NA,""
"50",5,5,""
"51",2,2,"Certification exists only to enrich certification bodies. I can prove my self in an interview just fine."
"52",2,2,""
"53",1,1,"I think people who are certified are generally worse than people with experience."
"54",6,2,"Perl certification would be a groovy thing to have."
"55",5,6,""
"56",5,6,""
"57",NA,NA,""
"58",6,6,"I don't know that a Perl Certification would make candidate selection any easier, considering the language."
"59",6,6,""
"60",6,6,""
"61",5,7,"As long as I get to run it and get paid for it, I'm all for selling Perl certificates"
"62",4,4,""
"63",NA,NA,""
"64",NA,NA,""
"65",3,5,""
"66",2,2,""
"67",3,3,""
"68",5,6,"would help me find good people to work with. "
"69",2,1,"Certificates aren't worth the paper they are printed on."
"70",NA,NA,""
"71",1,1,""
"72",2,3,"meh"
"73",3,6,"I'm not generally a fan of certifications as a means of proving one's competence."
"74",7,5,""
"75",2,2,"Certification in programming languages are more and more becoming moot in the market"
"76",1,1,""
"77",6,6,""
"78",3,4,""
"79",5,5,""
"80",NA,NA,""
"81",NA,NA,""
"82",NA,NA,""
"83",2,2,"stupid"
"84",2,1,""
"85",6,6,""
"86",NA,NA,""
"87",6,6,""
"88",1,1,""
"89",6,6,"good to have which should be recognised by industry, like sun certification etc..."
"90",1,1,"I have no experience on certification."
"91",2,3,""
"92",3,3,""
"93",NA,NA,""
"94",6,6,"Of course it would have to be more than multiple choice, i.e. a performance-based test like eg. RHCE ;)"
"95",3,5,""
"96",1,1,"Sounds kinda cool.  It gives people the sense that Perl is just as important to master as Java or .NET."
"97",3,1,"I don't like certificates too much. [CR]I fear it would consume a lot of energy to build it.[CR]Anyway, if you would like to offer Perl certification, go ahead!"
"98",3,6,""
"99",2,2,""
"100",2,7,""
"101",NA,NA,""
"102",NA,NA,""
"103",5,6,"How much would you trust an inidian progammer with a certificate ?"
"104",NA,NA,""
"105",2,2,""
"106",2,2,""
"107",3,5,""
"108",3,6,""
"109",NA,NA,"Whomever did the certifying would most likely use modules. I think a good programmer uses very few modules."
"110",NA,NA,""
"111",NA,3,""
"112",3,6,"I see certification as a good way to develop a training curses. Help people see and learn modern perl. There are too many info on the internet about outdated perl techniques."
"113",NA,NA,""
"114",5,5,""
"115",1,5,""
"116",NA,NA,""
"117",5,5,""
"118",3,3,""
"119",4,5,""
"120",1,5,"Seems like a good idea."
"121",3,1,""
"122",NA,NA,""
"123",3,1,""
"124",NA,NA,""
"125",5,6,""
"126",3,3,"I want to hire people who code, not people who waste time getting certifications."
"127",NA,NA,""
"128",5,5,"Good idea if it is kept up to date with trends, e.g. Moose"
"129",1,1,""
"130",NA,NA,""
"131",NA,NA,""
"132",NA,NA,""
"133",1,1,""
"134",1,1,""
"135",6,6,"It would make the enterprise more aware and serious about perl projects."
"136",NA,NA,""
"137",4,6,"Some companies might like that, personally I couldn't care less"
"138",3,3,""
"139",3,3,""
"140",4,5,""
"141",2,2,"What for?"
"142",NA,NA,""
"143",5,5,"To fully know Perl would be very difficult. I fear that certification exams would force you to know everything about Perl, or risk failing it. "
"144",NA,NA,""
"145",3,3,"I am not a big believer in certification.[CR]"
"146",4,4,""
"147",NA,NA,""
"148",4,4,"no real value"
"149",3,4,""
"150",4,5,""
"151",4,5,""
"152",3,3,"There is always a number of ways to get the same thing done in Perl, so I do not believe a certificate would be able to very accurately determine a persons competence with it."
"153",NA,NA,""
"154",3,1,""
"155",3,4,"Good luck. TIMTOWTDI will fall by the wayside."
"156",NA,NA,""
"157",3,3,""
"158",4,4,""
"159",6,7,"It needs to be easy to obtain in the same way as Red Hat Certified Engineer (RHCE).[CR][CR]That is, it should be obvious where to go to get started.  The process should be simple to understand.[CR][CR]There should be lots of places that provide an official study program.  And they need to be easy to reach through the same site that describes how to get certified."
"160",NA,NA,""
"161",2,2,""
"162",2,2,""
"163",3,3,"Perl doesn't seem to be used in the kinds of areas where certification would tell much. I'd be much more likely to just ask some questions to try to figure out the skill level of a potential programmer with Perl."
"164",4,4,"N/A"
"165",5,6,""
"166",5,7,"It just seems like a pain. In an interview you can tell how well someone knows perl in lesst than 10 questions that require less than 50 lines of code in total."
"167",5,5,""
"168",7,7,""
"169",5,5,"Catch-22: It won't mean anything until employers ""care"", but they won't care until it ""means"" something.[CR][CR]More places offering courses would mean more students, though, and more students means broader acceptance... In that regard, it would help increase mind-share and adoption."
"170",3,3,"Sounds like a scam. Certification would not play well with ""There is more than one way to do it."" Which way would you be certified in? Moose? Objects-in-a-blessed-hash? Knowing a zillion CPAN modules and how to use them? Best practices from Damian (what, use English;? really?) Something relatively obscure for most perl developers, such as POE, could potentially be the most important thing to others."
"171",4,5,"i imagine ""the suits"" might be interested in seeing more papers"
"172",7,7,""
"173",5,7,""
"174",7,7,"Why is none till now?"
"175",NA,NA,""
"176",NA,NA,""
"177",NA,NA,""
"178",1,1,""
"179",NA,NA,""
"180",2,2,""
"181",1,1,""
"182",NA,NA,""
"183",6,6,""
"184",1,1,""
"185",5,7,"Every major IT-technology has it's own certification, why not Perl?"
"186",2,2,"Certification is a waste of time. Experience is what counts."
"187",6,7,"Some places *seek* certifications, some people seek them too.[CR][CR]I reckon that even if it won't mean much of the person (even though it *should*), it would still promote the language quite a bit!"
"188",NA,NA,""
"189",NA,NA,""
"190",NA,NA,""
"191",NA,NA,""
"192",3,1,"The language is important, but not as important as knowing about good and appropriate use of data structures and algorithms."
"193",1,1,""
"194",1,NA,""
"195",5,5,""
"196",NA,NA,""
"197",NA,NA,""
"198",1,1,""
"199",3,5,""
"200",5,5,""
"201",2,2,"I have currently no need for certifications, YMMV"
"202",2,5,"I guess a certification could help decide for Perl in some cases, by giving Perl a more ""enterprisey"" tint. Other than that, I don't believe much in certifications."
"203",3,3,"I dont believe in certifications for programming"
"204",2,3,""
"205",2,5,""
"206",7,7,""
"207",2,3,"Useless PHB crap."
"208",1,1,""
"209",4,6,"Think its a good idea, as it will give a certain level of confidence when hiring perl programmers"
"210",5,5,""
"211",4,6,""
"212",3,1,"I don't evaluate certifications for other fields, so I don't know whether or not they can accurately reflect on candidates' ability to perform.  I prefer to rely on past experience and results, and might view a certification with skepticism (i.e. why did you get a certificate instead of just writing good code?)"
"213",2,2,""
"214",NA,NA,""
"215",NA,NA,""
"216",1,1,"I don't think it's required"
"217",3,1,"The usage of perl varies so much that an official certification probably wouldn't be that informative for a recruiter."
"218",3,3,""
"219",NA,NA,""
"220",NA,NA,""
"221",NA,NA,""
"222",3,5,"no clear ideas but if you consider perl is not known well among masses, certification might help in its awareness.[CR]"
"223",3,4,"It's an overblown status symbol, just like all certification."
"224",2,2,"No"
"225",5,5,"Too difficult to do given the size of the language."
"226",2,2,""
"227",2,5,""
"228",7,7,"Yes! I want it! But I don't know if I would actually follow through on it, partly because I don't know how affordable it would be (but mostly because I'm slack)."
"229",NA,NA,""
"230",6,6,"Need to keep cost low. Ideal would be a free/low-cost peer certification"
"231",7,7,""
"232",2,2,""
"233",NA,NA,""
"234",NA,NA,""
"235",3,3,"Passing a test doesn't make you a good coder."
"236",1,1,""
"237",3,1,""
"238",5,6,"Good idea"
"239",6,6,"in times of ISO9000 and ITIL - a good idea"
"240",NA,NA,""
"241",2,5,""
"242",1,1,""
"243",NA,NA,""
"244",2,2,""
"245",6,6,""
"246",5,6,"It all depends on what you are certifying."
"247",NA,NA,""
"248",1,1,""
"249",5,1,""
"250",NA,NA,""
"251",1,1,""
"252",NA,NA,""
"253",3,6,"You gotta do it in a Perlish style, not some lame 4-letter acronym you put after your name.  Somebody's perl certification should read like the geek code, if you feed it into the right module it should tell me what parts of perl they know and how well, or something cool like that. It would be truly fitting if, because of perl, your resume could be written as a one-liner that nobody could read... "
"254",NA,NA,""
"255",2,4,"I don't care about certification of any kind when hiring."
"256",1,1,""
"257",1,1,""
"258",3,5,"it's for the suits. how can you certify a language that proudly proclaims TMTOWTDI"
"259",5,5,""
"260",1,1,""
"261",NA,NA,""
"262",2,1,""
"263",2,2,"I think certifications in general aren't worth anything."
"264",2,2,"Perl code (and coders) simply vary too widely to make certification useful."
"265",5,7,"I'd like the idea of implicit certification possibilities based on code reviews on CPAN modules, Usenet and Mailing List parcipitation, Core patches, conference talks etc., perhaps tied to the Perl Mongers groups to validate identities. I.e. less school room knowledge but rather real world experiences."
"266",2,3,""
"267",4,4,"none"
"268",1,1,""
"269",5,5,""
"270",5,6,"I've been asked several times if there is some kind of Perl certification. Especially employers asked for that, as the try to find the ""best"" Perl programmers."
"271",NA,NA,""
"272",1,1,""
"273",4,5,"I don't think it's a bad idea to have the option, but I'm not sure how useful it would be given the audience perl has now."
"274",5,5,""
"275",4,5,"Just another money making scam"
"276",NA,NA,""
"277",5,5,""
"278",2,2,"I find certifications in general to be useless for being able to objectively judge a person's expertise at anything except getting the certification"
"279",NA,NA,""
"280",3,3,"If you are going to make a perl certification, then you gotta make sure whoever comes through that certification knows the key ideas in perl, like hashes.  We interviewed a guy who had a perl cert, and didn't know hashes.  How can a person have a perl certification if they didn't know hashes?!"
"281",7,7,""
"282",5,1,"Like any network it's usefulness will grow with the number of participating nodes.  If Perl certification is to become useful we must look at how other networks bootstrapped themselves."
"283",1,1,""
"284",3,3,""
"285",NA,NA,""
"286",NA,NA,""
"287",3,5,""
"288",3,5,""
"289",NA,NA,""
"290",NA,NA,""
"291",NA,NA,""
"292",2,4,""
"293",3,5,""
"294",3,4,"Bleah."
"295",NA,NA,""
"296",4,5,""
"297",2,2,""
"298",NA,NA,""
"299",7,7,""
"300",3,1,"I generally don't like certification. I got an RHCE 'cause forced by my employer. That didn't help me do my job."
"301",6,6,"Where do I go?"
"302",5,5,""
"303",2,2,""
"304",7,7,"This is vital."
"305",5,5,""
"306",3,3,"I have never felt it necessary nor has anyone asked me if I had one."
"307",6,6,""
"308",3,6,""
"309",4,5,""
"310",3,5,""
"311",1,1,"Not really interested in certifications."
"312",NA,NA,""
"313",NA,NA,""
"314",2,2,"Certification was invented by Novell (CNE) and exploited by Microsoft, (MCSE) as a cash grab. A whole industry of scavengers has sprung up to exploit it, aided by lazy recruiters. There's no reason to encourage them by creating Yet Another Bogus Credential."
"315",NA,NA,""
"316",3,4,"Certifications are mostly useless, and employers that aren't cattle farms realize this."
"317",NA,NA,""
"318",7,7,""
"319",5,6,""
"320",5,5,""
"321",3,3,""
"322",NA,NA,""
"323",2,2,"I am wary of people who boast of certifications."
"324",3,3,"I think it's silly in general. But then what do I know."
"325",NA,NA,""
"326",3,6,"As it is open source, one implementation shout be ported over all platforms.[CR]As it be in perl 5."
"327",1,1,"bound to be controversial"
"328",2,2,"It's pointless"
"329",NA,NA,""
"330",6,6,""
"331",NA,NA,""
"332",2,1,""
"333",1,1,""
"334",1,1,""
"335",NA,NA,""
"336",3,3,""
"337",3,3,""
"338",NA,NA,""
"339",NA,NA,""
"340",6,6,""
"341",NA,NA,""
"342",NA,NA,""
"343",1,1,""
"344",5,5,""
"345",5,5,""
"346",5,5,""
"347",3,3,""
"348",3,5,"It would have been good 7-8 years ago. It won't add much value now because those hiring aren't really looking for programmers with Perl as their core competency. They would just like it if you had Perl in your toolkit for knocking up quick scripts"
"349",NA,NA,""
"350",NA,NA,""
"351",NA,NA,""
"352",1,1,"I think it's a good choice, but maybe lost the time :("
"353",NA,NA,""
"354",2,1,"We were talking about this back in the dot com days. Nobody could figure it out then, nobody can today. It's a dead-end. A chicken-and-egg problem. Who has the credibility to make the certification mean anything? Who has the resources and inclination to pull it off? Those two questions are never going to point to the same people. Publish some code on CPAN. Let the market decide whether that counts as something. In the end, a certification would always mean much less than public code."
"355",1,1,"Perhaps with more data as to what certification of the language does to its image, it might be worth it. As in, making it a ""real"" language in the eyes of management. As it stands, I don't see the point."
"356",NA,NA,""
"357",1,1,""
"358",3,5,"never needed it"
"359",NA,NA,""
"360",5,5,"keep it simple"
"361",3,3,""
"362",NA,NA,""
"363",4,4,""
"364",NA,NA,""
"365",5,5,""
"366",NA,NA,""
"367",3,1,""
"368",4,5,""
"369",2,5,"Certification doesn't necessarily make a good programmer"
"370",1,1,""
"371",2,2,""
"372",1,1,"I've not worked in any environment where certification in any technology was recommended or required, so don't feel I can comment on this."
"373",5,6,""
"374",NA,NA,""
"375",7,7,""
"376",7,7,"Focus on code maintainability and writing ""modern perl."" Perhaps also additional certs with things like Moose, DBIx::Class, profiling/NYTProf, et al."
"377",NA,NA,""
"378",3,3,"Certification means that you pass a specific test but it doesn't tell me that you are proficient in perl.  When I interview candidates that know perl I ask specific questions like here is a regex ""(:?\w+?/$)"".  Tell me about back-tracking in relation to this.  I'm surprised that people stumble on this considering the $ is the anchor.  "
"379",NA,NA,""
"380",2,1,""
"381",4,4,"I don't believe in certifications at all"
"382",NA,NA,""
"383",6,6,"Good Idea!"
"384",NA,NA,""
"385",3,4,""
"386",5,6,""
"387",NA,NA,""
"388",NA,NA,""
"389",1,1,"I am in favor of it."
"390",4,4,"Certifications are only useful to recruiters, but if it would make Perl look more 'professional' to project sponsors (and I think it would) then it'd be worth doing."
"391",NA,NA,""
"392",NA,NA,""
"393",7,7,""
"394",1,1,""
"395",NA,NA,""
