variable,type,mandatory,skip_warn,open,min_val,max_val,min_responses,max_responses,widget
gender,choice,,,,,,,,choice_v
age_group,choice,,,,,,,,choice_v
birth_country,text,,,,,,,,textfield
resident_country,text,,,,,,,,textfield
highest_qual,choice,,,,,,,,choice_v
post_school_training,multichoice,,,,,,,,choice_v
formally_taught_perl,choice,,,,,,,,choice_v
formally_taught_other_os_language,choice,,,,,,,,choice_v
other_os_language_taught,textarea,,,,,,,,textarea
approx_annual_income,choice,,,,,,,,choice_v
work_industries,multiselect,,,,,,,,select
programming_computers_for,choice,,,,,,,,choice_v
programming_perl_for,choice,,,,,,,,choice_v
work_proportion_programming_software_projects,choice,,,,,,,,choice_v
work_proportion_programming_software_projects_not_writing_code,choice,,,,,,,,choice_v
time_percentage_programming_perl,choice,,,,,,,,choice_v
programming_in_spare_time,choice,,,,,,,,choice_v
versions_of_perl_commonly_used,multichoice,,,,,,,,choice_v
version_of_perl_used_most_frequently,choice,,,,,,,,choice_v
os_used_programming_development,multiselect,,,,,,,,select
os_completed_projects_deployed,multiselect,,,,,,,,select
win_os_perl_distro,multichoice,,,,,,,,choice_v
win_os_perl_distro_best,choice,,,,,,,,choice_v
language_1,text,,,,,,,,textfield
language_2,text,,,,,,,,textfield
language_3,text,,,,,,,,textfield
language_4,text,,,,,,,,textfield
language_5,text,,,,,,,,textfield
where_perl_belongs_in_list,choice,,,,,,,,choice_v
text_editors_mainly_used_for_perl_programming,multiselect,,,,,,,,select
text_editors_used_occasionally_for_perl_programming,multiselect,,,,,,,,select
perl_mongers_mailing_lists_subscribe_to,choice,,,,,,,,choice_v
technical_perl_mailing_lists_subscribe_to,choice,,,,,,,,choice_v
technical_not_perl_mailing_lists_subscribe_to,choice,,,,,,,,choice_v
local_perl_mongers_group,choice,,,,,,,,choice_v
attend_local_perl_mongers_group_meetings,choice,,,,,,,,choice_v
have_attended_perl_related_conference,choice,,,,,,,,choice_v
read_perl_news_sites,multichoice,,,,,,,,choice_v
num_cpan_modules,choice,,,,,,,,choice_v
num_cpan_modules_handed_over,choice,,,,,,,,choice_v
provided_bug_report_for_perl_interpreter,choice,,,,,,,,choice_h
provided_code_to_fix_bug_perl_interpreter,choice,,,,,,,,choice_h
provided_code_to_add_feature_to_perl_interpreter,choice,,,,,,,,choice_h
provided_bug_report_for_CPAN_module,choice,,,,,,,,choice_h
provided_code_to_fix_bug_CPAN_module,choice,,,,,,,,choice_h
provided_code_to_add_feature_to_CPAN_module,choice,,,,,,,,choice_h
perl_cutting_edge_programming_language,choice,,,,,,,,choice_h
perl_encouraged_at_workplace,choice,,,,,,,,choice_h
perl_good_language_for_startup,choice,,,,,,,,choice_h
perl_easy_to_maintain,choice,,,,,,,,choice_h
perl_code_scales_well,choice,,,,,,,,choice_h
management_encourages_perl_for_new_projects,choice,,,,,,,,choice_h
management_views_perl_as_cutting_edge,choice,,,,,,,,choice_h
management_views_perl_as_easy_to_maintain,choice,,,,,,,,choice_h
management_thinks_perl_scales_well,choice,,,,,,,,choice_h
perl_good_first_programming_language,choice,,,,,,,,choice_h
perl_good_tool_for_beginners,choice,,,,,,,,choice_h
perl_good_tool_early_career_programmers,choice,,,,,,,,choice_h
perl_good_tool_experienced_programmers,choice,,,,,,,,choice_h
perl_good_tool_system_administrators,choice,,,,,,,,choice_h
perl_good_tool_network_engineers,choice,,,,,,,,choice_h
perl_good_tool_embedded_systems_programmers,choice,,,,,,,,choice_h
perl_good_tool_applications_programmers,choice,,,,,,,,choice_h
perl_best_thing,textarea,,,,,,,,textarea
perl_frustrates_most,textarea,,,,,,,,textarea
describe_perl,text,,,,,,,,textfield
official_perl_cert_for_me,choice,,,,,,,,choice_h
official_perl_cert_for_others,choice,,,,,,,,choice_h
perl_cert_comments,textarea,,,,,,,,textarea
CPAN_1,text,,,,,,,,textfield
CPAN_2,text,,,,,,,,textfield
CPAN_3,text,,,,,,,,textfield
CPAN_4,text,,,,,,,,textfield
CPAN_5,text,,,,,,,,textfield
install_CPAN_always_test_run,choice,,,,,,,,choice_h
freq_force_install_CPAN_mods_after_test_fail,choice,,,,,,,,choice_h
try_to_understand_why_tests_fail_before_force_install,choice,,,,,,,,choice_h
report_test_fails_thru_approp_channels,choice,,,,,,,,choice_h
running_perl_program_across_mult_platforms_easy,choice,,,,,,,,choice_h
cross_platform_perl_programming_comments,textarea,,,,,,,,textarea
contact_email,text,,,,,,,,textfield
