session_key,completed,gender,age_group,birth_country,resident_country,highest_qual,post_school_training_1,post_school_training_2,post_school_training_3,post_school_training_4,post_school_training_5,post_school_training_6,post_school_training_7,post_school_training_8,post_school_training_9,post_school_training_10,formally_taught_perl,formally_taught_other_os_language,other_os_language_taught,approx_annual_income,work_industries_1,work_industries_2,work_industries_3,work_industries_4,work_industries_5,work_industries_6,work_industries_7,work_industries_8,work_industries_9,work_industries_10,work_industries_11,work_industries_12,work_industries_13,work_industries_14,work_industries_15,work_industries_16,work_industries_17,work_industries_18,work_industries_19,work_industries_20,work_industries_21,work_industries_22,work_industries_23,work_industries_24,work_industries_25,work_industries_26,work_industries_27,work_industries_28,work_industries_29,work_industries_30,work_industries_31,work_industries_32,work_industries_33,work_industries_34,work_industries_35,work_industries_36,work_industries_37,work_industries_38,work_industries_39,programming_computers_for,programming_perl_for,work_proportion_programming_software_projects,work_proportion_programming_software_projects_not_writing_code,time_percentage_programming_perl,programming_in_spare_time,versions_of_perl_commonly_used_1,versions_of_perl_commonly_used_2,versions_of_perl_commonly_used_3,versions_of_perl_commonly_used_4,versions_of_perl_commonly_used_5,versions_of_perl_commonly_used_6,version_of_perl_used_most_frequently,os_used_programming_development_1,os_used_programming_development_2,os_used_programming_development_3,os_used_programming_development_4,os_used_programming_development_5,os_used_programming_development_6,os_used_programming_development_7,os_used_programming_development_8,os_used_programming_development_9,os_used_programming_development_10,os_used_programming_development_11,os_used_programming_development_12,os_used_programming_development_13,os_used_programming_development_14,os_used_programming_development_15,os_used_programming_development_16,os_used_programming_development_17,os_used_programming_development_18,os_used_programming_development_19,os_used_programming_development_20,os_used_programming_development_21,os_used_programming_development_22,os_used_programming_development_23,os_used_programming_development_24,os_used_programming_development_25,os_used_programming_development_26,os_used_programming_development_27,os_used_programming_development_28,os_used_programming_development_29,os_used_programming_development_30,os_used_programming_development_31,os_used_programming_development_32,os_used_programming_development_33,os_used_programming_development_34,os_used_programming_development_35,os_used_programming_development_36,os_used_programming_development_37,os_used_programming_development_38,os_used_programming_development_39,os_used_programming_development_40,os_used_programming_development_41,os_used_programming_development_42,os_used_programming_development_43,os_used_programming_development_44,os_used_programming_development_45,os_used_programming_development_46,os_used_programming_development_47,os_used_programming_development_48,os_used_programming_development_49,os_used_programming_development_50,os_used_programming_development_51,os_used_programming_development_52,os_used_programming_development_53,os_completed_projects_deployed_1,os_completed_projects_deployed_2,os_completed_projects_deployed_3,os_completed_projects_deployed_4,os_completed_projects_deployed_5,os_completed_projects_deployed_6,os_completed_projects_deployed_7,os_completed_projects_deployed_8,os_completed_projects_deployed_9,os_completed_projects_deployed_10,os_completed_projects_deployed_11,os_completed_projects_deployed_12,os_completed_projects_deployed_13,os_completed_projects_deployed_14,os_completed_projects_deployed_15,os_completed_projects_deployed_16,os_completed_projects_deployed_17,os_completed_projects_deployed_18,os_completed_projects_deployed_19,os_completed_projects_deployed_20,os_completed_projects_deployed_21,os_completed_projects_deployed_22,os_completed_projects_deployed_23,os_completed_projects_deployed_24,os_completed_projects_deployed_25,os_completed_projects_deployed_26,os_completed_projects_deployed_27,os_completed_projects_deployed_28,os_completed_projects_deployed_29,os_completed_projects_deployed_30,os_completed_projects_deployed_31,os_completed_projects_deployed_32,os_completed_projects_deployed_33,os_completed_projects_deployed_34,os_completed_projects_deployed_35,os_completed_projects_deployed_36,os_completed_projects_deployed_37,os_completed_projects_deployed_38,os_completed_projects_deployed_39,os_completed_projects_deployed_40,os_completed_projects_deployed_41,os_completed_projects_deployed_42,os_completed_projects_deployed_43,os_completed_projects_deployed_44,os_completed_projects_deployed_45,os_completed_projects_deployed_46,os_completed_projects_deployed_47,os_completed_projects_deployed_48,os_completed_projects_deployed_49,os_completed_projects_deployed_50,os_completed_projects_deployed_51,os_completed_projects_deployed_52,os_completed_projects_deployed_53,win_os_perl_distro_1,win_os_perl_distro_2,win_os_perl_distro_3,win_os_perl_distro_4,win_os_perl_distro_best,language_1,language_2,language_3,language_4,language_5,where_perl_belongs_in_list
zzp2JGboTpugzDId3GUhBg==,1275402887,1,5,Germany,France,2,0,0,0,0,0,0,0,0,0,0,1,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,4,5,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,c,,,,,1
zzSHenP9QjitUSJ7GK-wIg==,1274464651,2,4,usa,usa,4,0,1,0,0,0,1,0,0,0,0,1,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,5,3,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,bash,javascript,xslt,php,,2
zzQ057p4SnO5IrCVe7eDSw==,1275296130,1,4,Germany,Germany,4,1,0,0,0,0,0,0,1,0,0,1,2,,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,2,4,3,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,,,,,,1
zzIx8q1dRwuD82TEDHVHgA==,1274458910,1,6,de,de,4,0,0,0,0,1,0,0,0,0,0,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,2,1,5,2,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1
zyXrgPGeTrS_xSdaIqHIZA==,,1,4,usa,usa,1,0,0,1,0,0,0,0,0,0,0,1,1,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,2,5,4,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
zxWKamlkRYmrRz7bu2g3-Q==,1274766698,1,3,Thailand,Australia,3,1,0,0,0,0,0,0,1,0,0,1,2,Make,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,5,2,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Javascript,C,PHP,,,1
zwJUNVsxS9q8ItIapTmUkg==,,1,6,Germany,Germany,2,0,0,0,0,0,0,0,0,0,0,1,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,5,4,4,3,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
zw8YhFlwQWKILcQgW82cIA==,,1,3,Croatia,Croatia,2,1,0,0,0,0,0,0,1,0,0,1,3,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,5,2,2,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Java,Delphi,c,,,6
zvOmUl3RQl-jIruxVoUyYg==,1274721050,1,4,USA,USA,3,1,0,0,0,0,0,0,0,0,0,1,2,slight amounts of javascript in a single class,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,5,2,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,javascript,bash,python,ruby,php,1
zvLkamzqQ6C-NFVy7dil5w==,1274403798,1,3,China,China,4,1,0,0,0,1,0,0,0,0,0,1,1,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,4,3,3,4,0,0,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Python,R,,,,1
